Date,Russell 2000
1987-09-10,
1987-09-11,0.00929154319753489
1987-09-14,-0.0006450135726638884
1987-09-15,-0.007217014495089269
1987-09-16,-0.0016548391509872973
1987-09-17,-0.0005919420187688873
1987-09-18,-0.00041468618162243676
1987-09-21,-0.008000036168981484
1987-09-22,0.0009558164154312987
1987-09-23,0.006505110729125407
1987-09-24,0.00041510422029267247
1987-09-25,0.0007705362842098662
1987-09-28,0.003968007964030296
1987-09-29,-0.002713583661358543
1987-09-30,0.010351354698165505
1987-10-01,0.0034541089299426897
1987-10-02,0.003967374321967476
1987-10-05,0.002673125582191238
1987-10-06,-0.013504037689405002
1987-10-07,-0.007872695751268699
1987-10-08,-0.010718289873447917
1987-10-09,-0.005626735634762348
1987-10-12,-0.013604590496415825
1987-10-13,0.0017087683281700183
1987-10-14,-0.014317083661837926
1987-10-15,-0.013165150580459306
1987-10-16,-0.04334208950408269
1987-10-19,-0.12531097748654363
1987-10-20,-0.09139226164710401
1987-10-21,0.07628300974870572
1987-10-22,-0.0465365058223991
1987-10-23,-0.02392231969361891
1987-10-26,-0.09260625747158635
1987-10-27,-0.01649596360572103
1987-10-28,-0.02239425174948395
1987-10-29,0.04449473170466467
1987-10-30,0.0673285097382883
1987-11-02,0.016489065728206853
1987-11-03,-0.0207137333227978
1987-11-04,-0.004417297545605936
1987-11-05,0.01484646363883857
1987-11-06,0.0032789589847248557
1987-11-09,-0.01433000132601725
1987-11-10,-0.017514071925560648
1987-11-11,0.006057499069102912
1987-11-12,0.017976916389882858
1987-11-13,-0.00033798830623632536
1987-11-16,-0.0003381025809550131
1987-11-17,-0.016656748518002806
1987-11-18,0.003353391052576926
1987-11-19,-0.013540164521361309
1987-11-20,-0.005733677861261555
1987-11-23,0.00017478613363342
1987-11-24,0.009696869035682454
1987-11-25,0.0033742808744587904
1987-11-27,-0.003104256329759303
1987-11-30,-0.033820635251854525
1987-12-01,-0.0038495999724603713
1987-12-02,-0.0014379081292513751
1987-12-03,-0.019530178715012503
1987-12-04,-0.02239767199122855
1987-12-07,-0.0006572741298048745
1987-12-08,0.0076106131379420905
1987-12-09,0.015386064516477838
1987-12-10,-0.0024795357202662682
1987-12-11,0.006444457103129686
1987-12-14,0.025155506839341868
1987-12-15,0.02043366576035699
1987-12-16,0.021511009717937846
1987-12-17,0.0010272448801191825
1987-12-18,0.02154948341418983
1987-12-21,0.00385065367485371
1987-12-22,-0.00508672965031387
1987-12-23,0.012488521696870425
1987-12-24,0.006539679355755723
1987-12-28,-0.021301064363002276
1987-12-29,-0.0058823272961527895
1987-12-30,0.01014367639295144
1987-12-31,0.007698729447241037
1988-01-04,0.02557716224786466
1988-01-05,0.02129552431917392
1988-01-06,0.0068976672126142
1988-01-07,0.008110226608636806
1988-01-08,-0.032726724059641166
1988-01-11,-0.010658912579605273
1988-01-12,-0.01052883873226762
1988-01-13,0.0005774122979946839
1988-01-14,0.003957095758144735
1988-01-15,0.015519784928506253
1988-01-18,0.0030727329864870256
1988-01-19,0.0031438885937449257
1988-01-20,-0.02153648547570297
1988-01-21,-0.0010677141962188719
1988-01-22,0.009537151100089902
1988-01-25,0.00724814221852399
1988-01-26,-0.003476716559789539
1988-01-27,0.0009736531162842788
1988-01-28,0.007619314185658199
1988-01-29,0.007481299359992644
1988-02-01,0.0038326681980282995
1988-02-02,0.0017499301508667742
1988-02-03,-0.004446602962778434
1988-02-04,0.0010368869489583155
1988-02-05,0.0020715042818160168
1988-02-08,-0.00405497750217243
1988-02-09,0.002075638690738346
1988-02-10,0.013065703178008814
1988-02-11,0.0068417355468095575
1988-02-12,0.009216651923932728
1988-02-16,0.005340044476161543
1988-02-17,0.002463489909581895
1988-02-18,0.0026878060223822775
1988-02-19,0.005054670799562011
1988-02-22,0.00868703365665957
1988-02-23,0.0011332564841497472
1988-02-24,0.006791381432753374
1988-02-25,0.0044220982310578805
1988-02-26,0.0011939681267669755
1988-02-29,0.01438479511746027
1988-03-01,0.0011755209121637744
1988-03-02,0.008072847114788617
1988-03-03,0.002839250057625975
1988-03-04,0.0022504359970507704
1988-03-07,0.007243227710297395
1988-03-08,0.009348504779097544
1988-03-09,0.009119398501929554
1988-03-10,-0.007978006831981688
1988-03-11,0.0005693675480913374
1988-03-14,0.0017782204033860438
1988-03-15,0.000710068915904305
1988-03-16,0.00688236983042767
1988-03-17,0.0054964326627322535
1988-03-18,0.00021023742927739342
1988-03-21,-0.005325073572979289
1988-03-22,0.0027472483178625495
1988-03-23,0.005057964101382151
1988-03-24,-0.011463022048506466
1988-03-25,-0.0074240815056518805
1988-03-28,-0.00833450725352236
1988-03-29,0.008260856555003748
1988-03-30,-0.0023511102138763507
1988-03-31,0.015139578202302495
1988-04-04,-0.01231093967738317
1988-04-05,0.0022792545450869284
1988-04-06,0.009877767038023233
1988-04-07,0.005418367948447189
1988-04-08,0.008538642070342606
1988-04-11,0.004094353316451693
1988-04-12,0.00435417010285577
1988-04-13,-0.0008258351908062567
1988-04-14,-0.02431128686975914
1988-04-15,-0.0038822831853355666
1988-04-18,0.006873591654376288
1988-04-19,0.003237432090386516
1988-04-20,-0.00596286275214597
1988-04-21,-0.0031051690252821285
1988-04-22,0.0031148411334884774
1988-04-25,0.003881461281602716
1988-04-26,0.006115958644551833
1988-04-27,0.0037031777346199224
1988-04-28,0.0029238666591036022
1988-04-29,0.006524516796211577
1988-05-02,-0.0019308929722335888
1988-05-03,0.004076636592945215
1988-05-04,-0.0006881784921225487
1988-05-05,-0.003029902476984203
1988-05-06,-0.0009669801825448188
