Date,CPI
2010-01-01,0.680110845940707
2010-02-01,-0.1066278542679489
2010-03-01,-0.286064246298046
2010-04-01,0.4526162541784729
2010-05-01,0.27574788971958
2010-06-01,1.2647526767523898
2010-07-01,0.632305068442718
2010-08-01,0.4302059340372199
2010-09-01,1.53627227687154
2010-10-01,1.1260905710720202
2010-11-01,1.31829898066591
2010-12-01,1.393380280754
2011-01-01,2.27322625990496
2011-02-01,2.8169688979258902
2011-03-01,1.74418998266395
2011-04-01,2.24921919600376
2011-05-01,2.3058155396239
2011-06-01,1.92672807632472
2011-07-01,2.5370313756665
2011-08-01,3.1779707716990093
2011-09-01,2.49197707942446
2011-10-01,2.02226514469577
2011-11-01,1.84701379887522
2011-12-01,2.37433305779156
2012-01-01,3.19808928450254
2012-02-01,1.6845519133678302
2012-03-01,2.42029632056173
2012-04-01,2.2851338427891696
2012-05-01,1.7320720722101297
2012-06-01,1.92206327761144
2012-07-01,2.08371119432122
2012-08-01,2.4238660191344503
2012-09-01,2.2866037427289303
2012-10-01,1.87504766315374
2012-11-01,2.0721553787935503
2012-12-01,1.79065016566902
2013-01-01,2.74180750368704
2013-02-01,2.45154222786008
2013-03-01,1.21535791179703
2013-04-01,2.088884185994
2013-05-01,1.9563823322529
2013-06-01,2.13725043962469
2013-07-01,2.00320004740069
2013-08-01,2.1480298989162
2013-09-01,2.23216017314456
2013-10-01,1.16372929089217
2013-11-01,2.60550640737742
2013-12-01,2.8446440822717203
2014-01-01,2.40632650352188
2014-02-01,2.3508313464702497
2014-03-01,2.8589766754357098
2014-04-01,2.21493222879676
2014-05-01,2.54562660708071
2014-06-01,1.31136444111866
2014-07-01,2.4049038383757497
2014-08-01,1.75173691535098
2014-09-01,1.93541098458714
2014-10-01,2.4289565511268
2014-11-01,2.25631054100233
2014-12-01,2.3833942455642
2015-01-01,1.94752959883826
2015-02-01,1.95449451571832
2015-03-01,2.43333592636743
2015-04-01,2.96265053867684
2015-05-01,2.5012910991095
2015-06-01,2.97239956431092
2015-07-01,1.9220253006031696
2015-08-01,1.63579063211565
2015-09-01,2.99841569275872
2015-10-01,2.28316449144805
2015-11-01,2.2654806001265
2015-12-01,1.83471969623819
2016-01-01,2.70841659132004
2016-02-01,2.53771440127248
2016-03-01,2.22200455864592
2016-04-01,3.8254778833095098
2016-05-01,3.2805191880404
2016-06-01,2.10339046055212
2016-07-01,2.49016471097936
2016-08-01,2.7425708907920803
2016-09-01,2.49832933493122
2016-10-01,2.01802556175075
2016-11-01,2.45883151623452
2016-12-01,2.03838510774881
2017-01-01,3.43630577482943
2017-02-01,3.2923463387532204
2017-03-01,1.91438367511723
2017-04-01,1.55365836257901
2017-05-01,2.1132188709843502
2017-06-01,1.8968337862046696
2017-07-01,2.1220936834140702
2017-08-01,2.2747579876520403
2017-09-01,2.8702567714483
2017-10-01,2.4249630240346502
2017-11-01,2.42039295861358
2017-12-01,2.95574718908234
2018-01-01,4.17000041826154
2018-02-01,2.01327934554867
2018-03-01,1.9619000737253895
2018-04-01,2.93200914809488
2018-05-01,2.9818325508401204
2018-06-01,2.6321178885371204
2018-07-01,2.11149391449985
2018-08-01,2.2967112867851003
2018-09-01,2.3337233555462205
2018-10-01,2.60626268747923
2018-11-01,3.7237636017007705
2018-12-01,2.9117770150544304
2019-01-01,3.23099390584713
2019-02-01,3.02451212422616
2019-03-01,3.2071444963092297
2019-04-01,2.2774968873232595
2019-05-01,2.5585351456762795
2019-06-01,3.80734521449875
2019-07-01,2.4690479946519703
2019-08-01,2.4628290795772902
2019-09-01,3.1506552025939
2019-10-01,2.5257194144136
2019-11-01,3.45027019634134
2019-12-01,2.61233046409994
2020-01-01,3.20697563356733
2020-02-01,2.70863053554713
2020-03-01,2.96654438067967
2020-04-01,1.96837350231596
2020-05-01,2.89504426558853
2020-06-01,1.68037017264615
2020-07-01,3.61082947310352
2020-08-01,2.23572327671315
2020-09-01,1.1339330439988702
2020-10-01,1.83845624148977
2020-11-01,1.21891052470624
2020-12-01,1.6244821427238203
2021-01-01,1.52430226027722
2021-02-01,2.8103907135000403
2021-03-01,2.3566512577708503
2021-04-01,2.7458149440762
2021-05-01,3.33847353905972
2021-06-01,3.1694932706457504
2021-07-01,3.58104546874516
2021-08-01,4.02203767076941
2021-09-01,5.05427501660436
2021-10-01,7.662852587467969
2021-11-01,6.24507044851239
2021-12-01,5.61179705867823
2022-01-01,6.99282631112532
2022-02-01,6.51955458274716
2022-03-01,6.35024941072335
2022-04-01,6.03032022330425
2022-05-01,7.50394411350803
2022-06-01,7.924919184464071
2022-07-01,6.423611018812459
2022-08-01,8.46391746602624
2022-09-01,8.38296430227019
2022-10-01,6.50774804422964
2022-11-01,5.76577021806237
2022-12-01,7.04916103059838
2023-01-01,8.142495355377719
2023-02-01,7.880495894967001
2023-03-01,4.90705452795612
2023-04-01,4.91159508026411
2023-05-01,4.65568634289892
2023-06-01,4.35544718579104
2023-07-01,2.283639185594
2023-08-01,4.027317641913
2023-09-01,5.626580337291111
