Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1970-10,0.25,-0.69,-3.12,-5.93,-9.57,0.24,0.28,-1.06,-0.26,-2.0,-4.22,-5.09,-6.93,-7.59,-11.57
1970-11,5.93,5.01,4.98,4.66,1.92,6.58,5.19,5.3,4.68,5.76,4.19,4.09,5.34,1.44,2.42
1970-12,5.15,6.47,6.98,7.57,7.2,4.43,5.97,6.99,5.88,8.1,5.82,7.19,8.03,8.37,5.98
1971-01,3.03,3.99,7.44,10.3,13.24,3.82,2.13,3.81,4.21,5.71,9.24,10.17,10.46,13.84,12.61
1971-02,0.76,2.07,2.32,1.89,3.18,-0.19,1.85,1.36,2.91,2.55,2.09,1.81,1.98,2.1,4.35
1971-03,2.81,4.46,5.15,5.58,7.82,2.24,3.45,3.72,5.3,3.21,7.11,3.94,7.5,7.71,7.92
1971-04,2.19,3.99,5.06,6.21,5.11,0.94,3.58,5.2,2.64,5.2,4.91,5.71,6.78,6.87,3.26
1971-05,-3.33,-4.4,-2.93,-3.43,-4.98,-4.06,-2.54,-3.44,-5.5,-3.67,-2.2,-4.24,-2.51,-5.77,-4.12
1971-06,1.14,0.01,0.75,-2.05,-2.05,1.33,0.94,0.66,-0.73,-0.07,1.53,-3.97,0.12,-2.5,-1.57
1971-07,-2.39,-4.45,-4.51,-6.29,-8.94,-1.38,-3.47,-3.8,-5.17,-3.85,-5.48,-6.14,-6.47,-6.33,-11.71
1971-08,1.4,5.91,6.3,5.28,8.63,-0.05,2.97,7.02,4.68,5.21,7.91,4.66,6.05,9.09,8.12
1971-09,-0.15,-0.54,-1.16,-0.04,-1.98,-0.47,0.18,-0.58,-0.49,-1.63,-0.47,-0.07,0.01,-0.89,-3.22
1971-10,-1.96,-4.25,-6.52,-6.63,-6.97,-0.91,-3.05,-4.95,-3.44,-7.33,-5.36,-7.27,-5.85,-6.28,-7.77
1971-11,0.83,-0.04,-0.94,-0.7,-1.69,0.17,1.53,-0.55,0.52,-1.18,-0.62,-0.53,-0.9,-1.24,-2.21
1971-12,7.93,8.79,10.55,10.35,12.42,7.23,8.67,7.99,9.69,10.45,10.68,10.12,10.61,11.63,13.36
1972-01,0.63,2.27,3.61,6.28,10.26,0.74,0.52,0.44,4.29,3.17,4.23,6.15,6.43,7.71,13.26
1972-02,2.64,2.62,3.35,5.2,4.18,1.37,3.96,2.98,2.25,3.98,2.49,3.61,7.1,4.51,3.8
1972-03,0.07,2.43,0.77,-0.71,0.38,-1.4,1.56,2.49,2.36,1.6,-0.37,-2.13,0.92,0.88,-0.18
1972-04,0.51,0.18,1.46,2.04,0.29,0.06,0.95,-0.07,0.44,1.29,1.71,0.74,3.49,0.73,-0.22
1972-05,2.36,0.92,1.78,0.98,0.18,2.06,2.65,-0.56,2.49,2.66,0.54,0.06,1.98,0.27,0.08
1972-06,-0.67,-2.28,-2.53,-3.77,-7.15,-1.17,-0.19,-2.47,-2.09,-2.62,-2.39,-4.22,-3.3,-6.51,-7.86
1972-07,0.59,0.2,-0.8,-3.26,-5.14,1.18,0.13,0.49,-0.53,-0.25,-1.36,-1.59,-5.5,-4.48,-5.87
1972-08,4.39,3.75,4.16,1.85,-0.47,6.07,3.06,3.2,5.17,3.9,4.42,2.5,0.95,-0.39,-0.57
1972-09,0.79,-0.95,-2.28,-3.68,-3.8,1.04,0.59,-0.75,-1.45,-0.93,-3.67,-2.97,-4.68,-3.09,-4.6
1972-10,2.28,-0.2,-0.26,0.62,-2.08,3.5,1.28,-0.94,1.69,0.09,-0.63,0.94,0.16,-2.53,-1.57
1972-11,4.79,4.63,5.14,6.76,6.09,4.67,4.89,4.12,5.88,5.36,4.9,7.49,5.69,7.09,4.97
1972-12,1.77,0.99,0.22,0.14,-3.04,1.42,2.07,1.34,0.14,-0.54,1.04,2.06,-2.73,-1.69,-4.58
1973-01,-1.24,-0.01,-6.11,-7.47,-8.9,-0.25,-2.06,1.66,-4.14,-5.88,-6.34,-6.24,-9.4,-7.61,-10.43
1973-02,-3.66,-2.7,-5.43,-6.33,-10.37,-3.73,-3.6,-1.72,-5.27,-5.37,-5.49,-7.07,-5.14,-9.93,-10.91
1973-03,0.41,-0.48,-2.62,-2.32,-2.65,1.26,-0.3,-1.05,1.06,-1.84,-3.47,-1.91,-2.98,-2.69,-2.59
1973-04,-2.19,-5.66,-6.83,-7.41,-9.92,-0.59,-3.54,-5.75,-5.42,-4.8,-9.02,-7.07,-7.94,-9.22,-10.8
1973-05,-0.99,-0.99,-3.64,-5.86,-10.44,0.42,-2.24,-0.96,-1.09,-3.51,-3.78,-5.11,-7.06,-8.89,-12.37
1973-06,0.36,-0.62,-3.41,-3.48,-5.47,0.95,-0.17,-0.69,-0.45,-3.08,-3.79,-4.49,-1.83,-5.58,-5.33
1973-07,2.13,4.72,12.76,11.0,17.76,1.76,2.48,4.31,6.02,11.95,13.54,9.74,13.04,15.78,20.29
1973-08,-3.36,-2.42,-2.0,-4.59,-4.6,-3.84,-2.89,-3.03,-0.51,-1.7,-2.28,-4.03,-5.45,-4.47,-4.76
1973-09,4.25,3.29,9.67,9.43,12.34,4.36,4.13,0.92,10.52,9.33,9.99,8.23,11.35,10.57,14.53
1973-10,-0.3,1.13,0.15,-2.85,-2.04,1.75,-2.3,1.11,1.16,0.65,-0.32,-3.83,-1.32,-1.75,-2.37
1973-11,-8.89,-10.71,-17.45,-18.73,-23.87,-8.28,-9.51,-10.77,-10.54,-17.71,-17.21,-18.53,-19.04,-23.05,-24.85
1973-12,2.65,0.43,1.45,-0.86,-0.02,2.99,2.29,-0.87,4.01,-0.5,3.27,-2.01,0.9,1.46,-1.84
1974-01,-1.89,0.55,2.58,4.59,9.75,-3.74,0.04,1.61,-2.27,2.36,2.78,5.14,3.78,8.25,11.66
1974-02,-0.1,-0.22,1.21,0.87,2.62,0.02,-0.22,-0.32,0.05,1.76,0.7,0.84,0.92,3.58,1.44
1974-03,-1.83,-2.31,-2.87,-2.77,-3.33,-1.71,-1.96,-2.08,-2.93,-3.47,-2.32,-3.5,-1.68,-3.37,-3.27
1974-04,-4.39,-3.78,-4.96,-4.89,-4.63,-4.54,-4.24,-3.64,-4.18,-4.31,-5.55,-4.67,-5.21,-3.77,-5.73
1974-05,-2.73,-2.63,-5.14,-7.63,-5.58,-3.61,-1.84,-2.1,-4.11,-4.22,-5.98,-8.73,-6.0,-4.72,-6.69
1974-06,-1.55,-0.8,-2.74,-4.37,-4.81,-2.09,-1.02,-0.77,-0.9,-3.61,-1.93,-5.13,-3.28,-4.72,-4.93
1974-07,-6.72,-7.94,-7.27,-8.11,-9.07,-6.19,-7.52,-8.75,-5.61,-5.86,-8.85,-6.57,-9.99,-8.89,-9.29
1974-08,-8.58,-8.55,-8.9,-7.63,-8.17,-7.6,-10.06,-7.81,-10.61,-9.34,-8.4,-6.62,-8.91,-9.48,-6.64
1974-09,-10.3,-11.83,-12.04,-12.21,-10.89,-9.85,-11.0,-12.05,-11.2,-11.42,-12.74,-12.53,-11.8,-8.32,-13.8
1974-10,18.59,14.55,17.73,10.09,10.27,18.52,18.71,13.1,18.72,15.51,20.29,12.84,6.55,8.17,12.79
1974-11,-4.3,-3.59,-4.72,-3.77,-4.42,-3.93,-4.9,-4.14,-2.1,-4.09,-5.41,-3.78,-3.76,-4.9,-3.87
1974-12,-1.42,-2.54,-5.13,-4.36,-7.87,-0.52,-2.85,-2.22,-3.4,-4.77,-5.52,-3.28,-5.83,-6.87,-9.0
1975-01,10.26,15.4,18.18,21.91,32.57,8.23,13.54,15.45,15.24,18.26,18.09,18.24,27.07,31.7,33.58
1975-02,5.54,7.12,5.86,6.27,8.09,5.99,4.85,8.24,4.09,4.95,6.86,6.53,5.92,9.02,7.04
1975-03,0.55,3.8,6.34,9.11,11.02,-0.45,2.11,3.15,5.62,5.86,6.85,7.67,11.01,8.34,14.11
1975-04,4.73,3.36,7.01,6.39,7.87,3.44,6.69,2.52,5.69,6.56,7.5,6.33,6.45,10.35,5.14
1975-05,6.17,4.06,4.39,8.14,6.85,7.06,4.86,3.67,5.1,4.83,3.92,7.75,8.65,6.5,7.26
1975-06,4.2,5.49,5.92,8.4,7.92,4.2,4.22,5.12,6.46,6.35,5.45,7.18,9.96,6.77,9.23
1975-07,-5.02,-6.82,-6.46,-7.01,-7.67,-4.82,-5.35,-5.44,-7.93,-5.66,-7.48,-7.62,-6.28,-7.61,-7.76
1975-08,-1.47,-1.65,-3.03,-4.83,-5.58,-2.01,-0.56,-2.12,-1.26,-3.37,-2.58,-4.71,-4.98,-5.65,-5.47
1975-09,-3.26,-3.14,-4.7,-4.94,-4.45,-2.25,-4.92,-3.2,-3.09,-4.06,-5.52,-4.69,-5.24,-4.85,-3.91
1975-10,4.44,7.63,6.19,5.91,6.07,3.92,5.31,6.01,8.97,5.46,7.16,5.4,6.52,6.58,5.39
1975-11,2.01,4.12,2.83,3.79,4.72,1.59,2.71,3.82,4.37,2.85,2.8,3.29,4.4,6.9,1.76
1975-12,-0.05,-1.75,-1.33,-2.16,-2.49,-0.04,-0.06,-1.51,-1.95,-1.37,-1.26,-1.76,-2.65,-3.27,-1.37
1976-01,10.06,11.71,15.39,16.78,19.75,7.82,13.75,10.43,12.73,13.86,17.38,14.75,19.24,16.94,23.72
1976-02,-1.2,-0.36,2.85,3.14,6.52,-1.3,-1.05,-0.56,-0.2,3.12,2.5,2.24,4.19,4.78,8.83
1976-03,3.17,3.51,1.72,1.15,1.5,3.48,2.68,4.46,2.76,2.32,0.97,0.7,1.67,1.62,1.33
1976-04,0.59,-2.37,-0.42,-1.99,-4.08,0.84,0.19,-1.04,-3.44,-0.1,-0.82,-1.66,-2.36,-3.17,-5.25
1976-05,0.11,-1.55,-1.49,-1.01,-2.95,0.92,-1.17,-1.58,-1.52,-0.69,-2.53,-1.68,-0.25,-2.33,-3.77
1976-06,4.07,4.07,5.2,5.09,6.37,4.2,3.86,3.33,4.67,4.54,6.08,4.5,5.75,6.91,5.66
1976-07,0.3,-1.0,-0.68,-0.8,-3.22,0.87,-0.67,-1.07,-0.95,0.09,-1.49,-0.48,-1.11,-2.61,-3.97
1976-08,1.03,0.45,-1.42,-2.24,-3.23,1.47,0.28,0.45,0.45,-2.05,-0.75,-2.69,-1.8,-2.35,-4.33
1976-09,3.63,1.75,1.56,2.23,2.04,4.12,2.77,2.61,1.01,0.73,2.45,3.3,1.2,1.51,2.71
1976-10,-1.17,-1.95,-2.53,-3.01,-4.96,-0.82,-1.78,-1.78,-2.1,-2.29,-2.78,-2.8,-3.22,-4.73,-5.24
1976-11,0.67,-0.55,1.37,3.12,3.52,1.55,-0.88,-1.24,0.05,1.97,0.73,2.66,3.57,2.84,4.38
1976-12,5.57,5.34,6.89,6.93,9.04,4.84,6.89,7.02,3.91,6.8,6.98,6.78,7.07,8.82,9.32
1977-01,-1.8,-5.73,-4.66,-3.46,-3.56,-1.1,-3.06,-5.83,-5.65,-4.42,-4.91,-3.01,-3.89,-4.42,-2.47
1977-02,-1.52,-1.25,-1.35,-2.44,-2.58,-1.24,-2.03,-1.57,-0.97,-0.88,-1.83,-1.98,-2.89,-2.34,-2.87
1977-03,-1.08,-1.6,-0.71,0.52,-0.65,-1.18,-0.91,-2.4,-0.9,-0.24,-1.2,0.51,0.54,-1.19,0.03
1977-04,1.44,-1.56,1.7,1.46,0.39,1.97,0.47,-0.33,-2.62,0.59,2.87,1.88,1.05,1.7,-1.22
1977-05,-0.24,-2.52,-1.32,-0.1,-0.67,-0.14,-0.44,-1.86,-3.1,-2.1,-0.52,-0.63,0.43,-0.74,-0.59
1977-06,4.14,4.89,5.55,6.91,9.05,3.68,4.98,4.11,5.59,4.88,6.24,5.74,8.06,9.34,8.68
1977-07,-1.2,-1.39,-1.2,-1.58,-0.88,-1.48,-0.71,-0.95,-2.05,-0.7,-1.81,-2.01,-1.12,-1.49,-0.11
