Date,USD_to_Won_spot
2010-01-01,
2010-01-04,1149.0
2010-01-05,1138.2
2010-01-06,1130.0
2010-01-07,1135.0
2010-01-08,1127.75
2010-01-11,1120.0
2010-01-12,1120.25
2010-01-13,1122.0
2010-01-14,1122.5
2010-01-15,1123.0
2010-01-18,
2010-01-19,1129.3
2010-01-20,1133.5
2010-01-21,1141.0
2010-01-22,1153.0
2010-01-25,1146.0
2010-01-26,1163.1
2010-01-27,1162.0
2010-01-28,1151.4
2010-01-29,1158.7
2010-02-01,1165.75
2010-02-02,1158.95
2010-02-03,1148.1
2010-02-04,1145.9
2010-02-05,1168.95
2010-02-08,1170.0
2010-02-09,1158.0
2010-02-10,1161.0
2010-02-11,1156.2
2010-02-12,1151.0
2010-02-15,
2010-02-16,1147.0
2010-02-17,1144.0
2010-02-18,1144.2
2010-02-19,1153.0
2010-02-22,1149.2
2010-02-23,1155.0
2010-02-24,1156.0
2010-02-25,1166.2
2010-02-26,1159.0
2010-03-01,1153.0
2010-03-02,1147.0
2010-03-03,1141.0
2010-03-04,1145.5
2010-03-05,1139.5
2010-03-08,1131.5
2010-03-09,1135.15
2010-03-10,1128.1
2010-03-11,1133.43
2010-03-12,1128.33
2010-03-15,1134.5
2010-03-16,1133.0
2010-03-17,1128.0
2010-03-18,1131.5
2010-03-19,1133.58
2010-03-22,1135.5
2010-03-23,1136.8
2010-03-24,1137.0
2010-03-25,1142.3
2010-03-26,1138.0
2010-03-29,1135.0
2010-03-30,1131.0
2010-03-31,1131.2
2010-04-01,1126.3
2010-04-02,1125.9
2010-04-05,1122.8
2010-04-06,1123.9
2010-04-07,1120.0
2010-04-08,1123.0
2010-04-09,1117.0
2010-04-12,1114.0
2010-04-13,1123.7
2010-04-14,1111.5
2010-04-15,1107.0
2010-04-16,1110.0
2010-04-19,1118.1
2010-04-20,1117.8
2010-04-21,1107.6
2010-04-22,1108.2
2010-04-23,1108.5
2010-04-26,1104.0
2010-04-27,1110.0
2010-04-28,1118.0
2010-04-29,1114.8
2010-04-30,1108.0
2010-05-03,1118.4
2010-05-04,1115.0
2010-05-05,1115.0
2010-05-06,1140.9
2010-05-07,1155.3
2010-05-10,1131.8
2010-05-11,1133.75
2010-05-12,1144.02
2010-05-13,1129.2
2010-05-14,1130.0
2010-05-17,1152.75
2010-05-18,1146.0
2010-05-19,1163.9
2010-05-20,1193.5
2010-05-21,1193.0
2010-05-24,1213.65
2010-05-25,1250.0
2010-05-26,1253.2
2010-05-27,1222.95
2010-05-28,1194.5
2010-05-31,
2010-06-01,1216.0
2010-06-02,1216.5
2010-06-03,1198.5
2010-06-04,1201.5
2010-06-07,1235.61
2010-06-08,1233.99
2010-06-09,1247.3
2010-06-10,1250.4
2010-06-11,1245.9
2010-06-14,1221.2
2010-06-15,1229.0
2010-06-16,1211.0
2010-06-17,1212.8
2010-06-18,1202.55
2010-06-21,1173.6
2010-06-22,1182.95
2010-06-23,1187.1
2010-06-24,1188.9
2010-06-25,1215.1
2010-06-28,1202.85
2010-06-29,1216.85
2010-06-30,1220.85
2010-07-01,1227.0
2010-07-02,1228.5
2010-07-05,
2010-07-06,1222.0
2010-07-07,1221.55
2010-07-08,1209.4
2010-07-09,1197.5
2010-07-12,1203.35
2010-07-13,1212.5
2010-07-14,1201.55
2010-07-15,1201.5
2010-07-16,1202.5
2010-07-19,1216.0
2010-07-20,1206.4
2010-07-21,1203.5
2010-07-22,1202.95
2010-07-23,1198.5
2010-07-26,1191.0
2010-07-27,1181.95
2010-07-28,1185.0
2010-07-29,1185.35
2010-07-30,1182.0
2010-08-02,1172.5
2010-08-03,1167.2
2010-08-04,1167.25
2010-08-05,1166.0
2010-08-06,1161.0
2010-08-09,1160.0
2010-08-10,1168.6
2010-08-11,1182.0
2010-08-12,1185.9
2010-08-13,1183.7
2010-08-16,1186.9
2010-08-17,1176.0
2010-08-18,1174.0
2010-08-19,1172.15
2010-08-20,1183.2
2010-08-23,1181.6
2010-08-24,1191.0
2010-08-25,1196.15
2010-08-26,1190.1
2010-08-27,1195.1
2010-08-30,1191.0
2010-08-31,1198.0
2010-09-01,1184.0
2010-09-02,1178.0
2010-09-03,1173.0
2010-09-06,
2010-09-07,1177.0
2010-09-08,1171.5
2010-09-09,1166.75
2010-09-10,1164.85
2010-09-13,1159.0
2010-09-14,1159.5
2010-09-15,1158.0
2010-09-16,1161.0
2010-09-17,1160.0
2010-09-20,1160.5
2010-09-21,1160.0
2010-09-22,1150.0
2010-09-23,1150.65
2010-09-24,1154.2
2010-09-27,1146.0
2010-09-28,1145.5
2010-09-29,1139.0
2010-09-30,1140.1
2010-10-01,1130.25
2010-10-04,1122.25
2010-10-05,1129.85
2010-10-06,1117.4
2010-10-07,1114.0
2010-10-08,1120.7
2010-10-11,
2010-10-12,1130.15
2010-10-13,1119.0
2010-10-14,1110.4
2010-10-15,1109.6
2010-10-18,1115.0
2010-10-19,1126.7
2010-10-20,1124.9
2010-10-21,1128.4
2010-10-22,1125.6
2010-10-25,1115.6
2010-10-26,1122.0
2010-10-27,1130.0
2010-10-28,1123.0
2010-10-29,1124.0
2010-11-01,1116.73
2010-11-02,1111.0
2010-11-03,1109.8
2010-11-04,1106.53
2010-11-05,1107.7
2010-11-08,1114.0
2010-11-09,1111.4
2010-11-10,1109.6
2010-11-11,
2010-11-12,1127.2
2010-11-15,1134.7
2010-11-16,1129.8
2010-11-17,1143.75
2010-11-18,1129.9
2010-11-19,1131.15
2010-11-22,1126.0
2010-11-23,1162.0
2010-11-24,1146.0
2010-11-25,
2010-11-26,1153.95
2010-11-29,1164.05
2010-11-30,1157.2
2010-12-01,1149.0
2010-12-02,1148.0
2010-12-03,1136.5
2010-12-06,1136.7
2010-12-07,1130.0
2010-12-08,1142.5
2010-12-09,1140.0
2010-12-10,1143.0
2010-12-13,1144.9
2010-12-14,1139.0
2010-12-15,1154.95
2010-12-16,1155.0
2010-12-17,1155.05
2010-12-20,1154.1
2010-12-21,1155.15
2010-12-22,1153.9
2010-12-23,1151.9
2010-12-24,
2010-12-27,1148.9
2010-12-28,1143.0
2010-12-29,1143.0
2010-12-30,1130.6
2010-12-31,
2011-01-03,1124.3
2011-01-04,1124.2
2011-01-05,1127.3
2011-01-06,1121.0
2011-01-07,1120.2
2011-01-10,1128.1
2011-01-11,1124.0
2011-01-12,1111.6
2011-01-13,1111.2
2011-01-14,1114.55
2011-01-17,
2011-01-18,1111.0
2011-01-19,1113.2
2011-01-20,1124.1
2011-01-21,1118.0
2011-01-24,1118.0
2011-01-25,1121.6
2011-01-26,1116.0
2011-01-27,1114.3
2011-01-28,1115.6
2011-01-31,1119.1
2011-02-01,1113.6
2011-02-02,1113.6
2011-02-03,1113.6
2011-02-04,1113.6
2011-02-07,1103.6
2011-02-08,1100.9
2011-02-09,1107.4
2011-02-10,1120.9
2011-02-11,1126.3
2011-02-14,1125.9
2011-02-15,1121.3
2011-02-16,1115.3
2011-02-17,1114.5
2011-02-18,1111.0
2011-02-21,
2011-02-22,1125.35
2011-02-23,1125.2
2011-02-24,1130.55
2011-02-25,1125.0
2011-02-28,1123.7
2011-03-01,1123.5
2011-03-02,1121.0
2011-03-03,1115.4
2011-03-04,1117.5
2011-03-07,1115.35
2011-03-08,1115.0
2011-03-09,1114.45
2011-03-10,1123.7
2011-03-11,1126.0
2011-03-14,1127.0
2011-03-15,1135.6
2011-03-16,1132.6
2011-03-17,1133.1
2011-03-18,1126.0
2011-03-21,1121.5
2011-03-22,1120.6
2011-03-23,1124.1
2011-03-24,1118.6
2011-03-25,1110.7
2011-03-28,1111.5
2011-03-29,1112.2
2011-03-30,1100.5
2011-03-31,1097.25
2011-04-01,1086.7
2011-04-04,1086.45
2011-04-05,1086.5
2011-04-06,1084.0
2011-04-07,1088.6
2011-04-08,1082.0
2011-04-11,1085.5
2011-04-12,1091.8
2011-04-13,1086.3
2011-04-14,1086.55
2011-04-15,1087.0
2011-04-18,1088.0
2011-04-19,1085.7
2011-04-20,1076.5
2011-04-21,1079.5
2011-04-22,1080.8
2011-04-25,1081.1
2011-04-26,1083.6
2011-04-27,1078.8
2011-04-28,1072.9
2011-04-29,1068.4
2011-05-02,1065.5
2011-05-03,1071.3
2011-05-04,1076.3
2011-05-05,1081.3
2011-05-06,1085.1
2011-05-09,1081.0
2011-05-10,1082.2
2011-05-11,1076.0
2011-05-12,1088.0
2011-05-13,1086.8
2011-05-16,1091.7
2011-05-17,1088.3
2011-05-18,1087.6
2011-05-19,1086.0
2011-05-20,1082.7
2011-05-23,1097.8
2011-05-24,1093.2
2011-05-25,1101.6
2011-05-26,1089.0
2011-05-27,1082.2
2011-05-30,
2011-05-31,1078.0
2011-06-01,1076.2
2011-06-02,1081.4
2011-06-03,1077.0
2011-06-06,1078.55
2011-06-07,1081.8
2011-06-08,1080.0
2011-06-09,1082.8
2011-06-10,1084.0
2011-06-13,1085.2
2011-06-14,1082.4
2011-06-15,1083.0
2011-06-16,1091.15
2011-06-17,1085.8
2011-06-20,1082.25
2011-06-21,1078.45
2011-06-22,1073.85
2011-06-23,1082.85
2011-06-24,1078.7
2011-06-27,1084.95
2011-06-28,1080.3
2011-06-29,1073.0
2011-06-30,1066.3
2011-07-01,1065.05
2011-07-04,
2011-07-05,1065.0
2011-07-06,1066.5
2011-07-07,1063.9
2011-07-08,1056.9
2011-07-11,1057.6
2011-07-12,1064.05
2011-07-13,1055.1
2011-07-14,1055.55
2011-07-15,1058.0
2011-07-18,1061.85
2011-07-19,1059.6
2011-07-20,1053.95
2011-07-21,1054.5
2011-07-22,1050.25
2011-07-25,1053.45
2011-07-26,1049.2
2011-07-27,1052.5
2011-07-28,1051.55
2011-07-29,1054.0
2011-08-01,1051.3
2011-08-02,1052.4
2011-08-03,1058.85
2011-08-04,1061.5
2011-08-05,1067.2
2011-08-08,1082.9
2011-08-09,1087.45
2011-08-10,1080.1
2011-08-11,1078.2
2011-08-12,1078.9
2011-08-15,1078.8
2011-08-16,1068.05
2011-08-17,1068.55
2011-08-18,1076.75
2011-08-19,1087.2
2011-08-22,1083.15
2011-08-23,1077.2
2011-08-24,1083.65
2011-08-25,1088.25
2011-08-26,1079.5
2011-08-29,1073.45
2011-08-30,1072.15
2011-08-31,1063.9
2011-09-01,1061.4
2011-09-02,1064.85
2011-09-05,
2011-09-06,1076.9
2011-09-07,1070.65
2011-09-08,1075.3
2011-09-09,1077.1
2011-09-12,1076.75
2011-09-13,1076.75
2011-09-14,1107.45
2011-09-15,1113.25
2011-09-16,1112.4
2011-09-19,1139.4
2011-09-20,1140.0
2011-09-21,1152.4
2011-09-22,1179.7
2011-09-23,1164.9
2011-09-26,1181.0
2011-09-27,1164.5
2011-09-28,1171.9
2011-09-29,1172.6
2011-09-30,1180.9
2011-10-03,1180.0
2011-10-04,1197.5
2011-10-05,1186.5
2011-10-06,1184.0
2011-10-07,1170.5
2011-10-10,
2011-10-11,1171.15
2011-10-12,1164.5
2011-10-13,1157.75
2011-10-14,1156.0
2011-10-17,1148.35
2011-10-18,1149.5
2011-10-19,1133.5
2011-10-20,1147.0
2011-10-21,1147.2
2011-10-24,1133.2
2011-10-25,1131.25
2011-10-26,1134.65
2011-10-27,1106.6
2011-10-28,1102.5
2011-10-31,1112.05
2011-11-01,1122.05
2011-11-02,1120.65
2011-11-03,1127.4
2011-11-04,1110.6
2011-11-07,1117.3
2011-11-08,1118.1
2011-11-09,1118.85
2011-11-10,1131.85
2011-11-11,
2011-11-14,1126.05
2011-11-15,1128.5
2011-11-16,1134.15
2011-11-17,1132.15
2011-11-18,1138.5
2011-11-21,1143.0
2011-11-22,1146.65
2011-11-23,1159.7
2011-11-24,
2011-11-25,1162.0
2011-11-28,1152.5
2011-11-29,1139.5
2011-11-30,1140.05
2011-12-01,1126.55
2011-12-02,1128.0
2011-12-05,1124.5
2011-12-06,1128.5
2011-12-07,1129.05
2011-12-08,1133.55
2011-12-09,1146.6
2011-12-12,1149.2
2011-12-13,1157.0
2011-12-14,1158.3
2011-12-15,1156.95
2011-12-16,1158.5
2011-12-19,1175.5
2011-12-20,1157.0
2011-12-21,1150.8
2011-12-22,1154.0
2011-12-23,1149.0
2011-12-26,
2011-12-27,1155.65
2011-12-28,1157.0
2011-12-29,1156.5
2011-12-30,1158.5
2012-01-02,
2012-01-03,1143.7
2012-01-04,1147.35
2012-01-05,1155.55
2012-01-06,1160.0
2012-01-09,1158.8
2012-01-10,1153.55
2012-01-11,1159.55
2012-01-12,1151.25
2012-01-13,1150.35
2012-01-16,
2012-01-17,1142.85
2012-01-18,1139.0
2012-01-19,1133.6
2012-01-20,1133.0
2012-01-23,1125.4
2012-01-24,1129.25
2012-01-25,1129.05
2012-01-26,1120.1
2012-01-27,1120.5
2012-01-30,1128.0
2012-01-31,1125.7
2012-02-01,1126.35
2012-02-02,1115.65
2012-02-03,1116.0
2012-02-06,1121.0
2012-02-07,1117.0
2012-02-08,1116.4
2012-02-09,1118.55
2012-02-10,1123.0
2012-02-13,1119.95
2012-02-14,1126.55
2012-02-15,1124.65
2012-02-16,1128.65
2012-02-17,1126.25
2012-02-20,
2012-02-21,1124.25
2012-02-22,1126.45
2012-02-23,1128.9
2012-02-24,1124.0
