Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1967-03,5.15,5.27,5.91,6.62,7.15,6.47,3.44,5.22,5.31,4.65,6.96,5.38,7.87,8.75,5.86
1967-04,5.32,3.74,3.88,5.11,4.83,6.36,3.96,4.45,3.03,2.34,5.16,5.35,4.88,4.61,5.01
1967-05,-0.3,-1.7,-1.79,-1.35,-0.66,0.28,-1.04,-1.89,-1.5,-2.3,-1.37,-1.42,-1.27,-0.38,-0.88
1967-06,9.16,5.74,5.17,7.58,11.39,11.62,6.02,7.56,3.91,3.91,6.22,6.73,8.43,9.67,12.78
1967-07,10.24,7.46,6.31,8.34,8.17,10.83,9.35,7.09,7.8,5.51,6.99,8.41,8.28,6.34,9.61
1967-08,1.42,0.31,0.32,0.32,-0.76,0.95,2.13,-0.15,0.72,1.0,-0.26,1.23,-0.5,-0.76,-0.77
1967-09,5.67,5.72,4.45,6.73,7.67,5.33,6.19,3.6,7.61,4.83,4.13,7.24,6.28,7.88,7.51
1967-10,-0.93,-2.81,-3.44,-2.59,-1.2,0.99,-3.82,-3.25,-2.42,-3.4,-3.48,-2.79,-2.42,-2.65,-0.07
1967-11,0.65,0.4,-0.03,0.52,-0.37,0.73,0.53,0.06,0.71,-0.12,0.04,0.52,0.53,-0.44,-0.31
1967-12,9.62,6.62,5.68,7.36,8.74,9.84,9.28,6.53,6.69,4.28,6.86,5.03,9.44,6.47,10.54
1968-01,3.83,0.26,-0.83,0.15,-0.48,5.29,1.61,-1.25,1.63,0.33,-1.81,-0.08,0.35,1.14,-1.76
1968-02,-6.13,-4.17,-4.65,-5.43,-7.75,-6.86,-5.03,-4.67,-3.72,-4.04,-5.17,-4.9,-5.9,-7.69,-7.8
1968-03,-1.08,-0.68,-0.22,-1.4,-0.18,-1.37,-0.65,-0.9,-0.48,0.1,-0.49,-1.21,-1.57,0.09,-0.39
1968-04,15.13,12.18,12.95,14.53,17.1,16.73,12.68,11.05,13.2,11.38,14.29,13.65,15.31,15.18,18.61
1968-05,11.15,5.37,6.02,8.72,9.24,13.26,7.94,5.49,5.26,5.56,6.4,7.73,9.59,9.28,9.2
1968-06,1.29,2.28,1.23,1.7,-0.28,0.97,1.76,1.5,3.0,0.67,1.71,2.2,1.26,0.53,-0.91
1968-07,-1.98,-2.45,-2.69,-3.81,-6.07,-1.75,-2.27,-2.68,-2.22,-2.94,-2.41,-3.96,-3.67,-5.27,-6.72
1968-08,4.42,4.16,3.1,3.83,2.37,4.54,4.26,5.19,3.15,3.65,2.52,4.32,3.4,2.45,2.31
1968-09,8.95,7.56,6.85,7.45,6.33,9.46,8.3,8.65,6.48,7.16,6.51,6.72,8.07,5.94,6.64
1968-10,0.42,0.0,1.68,0.82,0.26,-0.3,1.33,-0.14,0.13,0.96,2.44,1.83,-0.05,0.41,0.13
1968-11,6.88,6.99,6.62,7.76,7.47,7.94,5.51,6.87,7.12,5.96,7.33,7.56,7.93,6.5,8.26
1968-12,2.34,0.3,-0.37,-1.5,-0.27,2.42,2.23,1.08,-0.47,0.04,-0.8,-0.75,-2.15,-0.29,-0.26
1969-01,-0.59,0.09,-0.72,-1.92,-1.92,-0.29,-0.98,-0.3,0.47,-1.26,-0.16,-1.65,-2.15,-1.87,-1.96
