Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1951-07,3.01,6.39,8.56,5.97,5.77,7.99,9.58,4.94,9.12,5.21,7.34,8.96,7.44,9.41,9.67,7.09,4.5,9.84,8.16
1951-08,14.65,3.88,5.72,6.65,2.92,6.56,5.67,6.63,6.02,2.55,3.95,7.73,5.9,4.83,6.09,5.05,6.95,5.74,6.41
1951-09,-2.9,-0.23,-0.15,1.65,-0.5,1.36,-1.78,1.76,1.65,-1.22,1.47,0.8,1.67,-0.01,-2.65,2.26,1.66,2.18,0.93
1951-10,-3.62,-4.12,-1.12,-2.26,-4.56,-3.22,1.12,-2.59,-1.99,-4.93,-3.6,-2.43,-3.66,-1.66,2.52,-3.56,-2.39,-3.0,-0.59
1951-11,8.33,0.21,0.69,1.3,0.15,0.18,0.98,2.07,-0.3,-0.21,1.1,0.4,0.06,1.29,0.83,2.01,2.08,0.06,-0.8
1951-12,-0.4,4.02,4.9,2.51,4.42,4.34,4.88,2.88,1.48,5.51,1.6,2.55,5.38,3.69,5.46,2.29,3.0,1.14,1.95
1952-01,0.1,0.55,2.59,0.19,-0.2,1.96,3.56,-0.14,2.25,-1.98,4.55,3.39,1.16,0.63,4.96,3.02,-0.77,2.12,2.42
1952-02,-3.22,-2.96,-3.93,-1.4,-2.53,-4.03,-4.21,-0.78,-3.57,-2.48,-2.66,-4.56,-3.73,-2.36,-5.06,-2.77,-0.36,-4.19,-2.74
1952-03,-2.24,3.02,5.79,6.92,2.67,5.52,5.82,7.01,5.05,2.35,3.46,4.35,6.18,5.79,5.84,3.22,7.79,4.95,5.2
1952-04,-4.95,-4.48,-6.66,-4.68,-4.35,-6.11,-6.76,-3.64,-7.66,-4.21,-4.7,-4.94,-6.77,-8.32,-6.02,-5.22,-3.33,-8.23,-6.9
1952-05,-0.28,3.35,3.75,3.22,3.01,3.85,3.89,3.56,2.9,3.85,0.92,4.61,3.41,4.21,3.75,4.58,3.36,3.7,1.84
1952-06,3.2,3.66,4.86,5.78,3.0,5.43,5.01,5.26,5.71,3.47,1.79,6.07,5.07,5.22,4.91,2.46,5.81,6.31,4.91
1952-07,1.24,0.67,1.31,1.91,0.57,2.18,1.04,1.03,1.99,0.55,0.63,1.32,2.77,0.83,1.66,0.66,1.75,1.95,2.04
1952-08,-1.23,-0.03,-0.98,-1.04,-0.42,0.71,-1.09,-1.14,-1.03,-0.61,-0.01,2.45,-0.44,-1.02,-1.28,-1.18,-1.06,-0.48,-1.85
1952-09,4.18,-1.2,-2.36,-2.22,-1.24,-0.93,-2.48,-3.47,-2.01,-1.14,-1.45,-0.95,-0.92,-2.63,-2.05,-3.91,-2.65,-1.88,-2.2
1952-10,-2.43,-0.77,0.14,-0.44,-0.72,-0.36,0.25,-0.69,-0.2,-0.73,-0.69,-1.12,0.16,0.93,-1.69,-0.57,-0.93,0.11,-0.67
1952-11,9.08,7.34,4.92,8.37,7.63,6.08,4.49,6.06,8.54,7.8,7.27,5.53,6.45,4.61,4.13,5.02,8.02,7.3,10.45
1952-12,3.46,1.81,4.11,2.73,1.9,2.72,4.36,2.6,3.51,1.68,2.37,1.3,3.66,3.99,5.43,3.41,1.12,2.75,4.66
1953-01,0.0,-0.06,-1.17,1.1,-0.23,0.8,-1.63,-0.64,1.17,0.47,-1.73,0.98,0.68,-1.42,-2.23,-1.48,0.94,0.33,2.41
1953-02,4.51,-0.57,0.1,-0.37,-0.59,0.53,-0.19,0.18,-0.73,-0.8,-0.13,-0.39,1.13,-0.23,-0.04,0.08,0.37,-1.55,0.46
1953-03,-4.73,0.03,-2.27,-2.63,0.09,-0.92,-2.74,-2.04,-2.14,-0.15,0.6,-0.36,-1.28,-2.76,-2.69,-1.17,-3.63,-1.99,-2.36
1953-04,-4.17,-2.33,-2.99,-1.65,-2.38,-1.98,-3.34,-3.08,-0.64,-2.62,-1.86,-2.03,-1.95,-3.01,-4.28,-2.7,-3.79,-1.03,-0.09
1953-05,0.4,0.88,0.8,-0.05,0.89,-0.14,1.26,0.74,-0.41,0.5,1.73,0.81,-0.75,1.0,2.05,0.75,0.72,-0.01,-0.97
