Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1964-10,0.97,0.53,1.66,1.35,-1.08,0.54,2.41,2.31,-0.81,1.55,1.8,-0.11,3.04,-1.4,-0.61
1964-11,0.71,-0.06,-0.2,0.53,-2.95,1.23,-0.38,1.39,-1.28,-0.96,0.75,1.55,-1.24,-1.12,-4.54
1964-12,0.86,-0.26,0.25,-0.47,-0.47,0.74,1.06,0.27,-1.28,-0.11,0.75,-0.53,-0.36,-0.16,-0.75
1965-01,2.96,4.43,4.76,4.4,7.23,1.46,5.14,4.55,4.24,4.75,4.78,3.84,5.42,4.56,9.71
1965-02,-0.76,1.66,2.53,2.95,5.08,-0.88,-0.56,1.6,1.77,1.99,3.15,2.58,3.73,5.74,4.37
1965-03,-1.19,-0.81,-1.05,-0.6,0.58,-1.47,-0.61,-0.67,-1.04,-1.28,-0.76,-0.07,-1.32,1.24,0.02
1965-04,3.21,2.73,4.36,5.49,3.74,3.21,3.19,2.55,3.11,4.43,4.29,5.45,5.53,3.89,3.57
1965-05,-0.39,-0.5,0.12,-0.82,-1.38,0.02,-0.85,-0.14,-0.87,0.29,-0.06,-1.47,0.16,-0.48,-2.23
1965-06,-4.03,-4.74,-6.76,-7.96,-11.69,-3.18,-4.94,-4.11,-5.77,-6.43,-7.05,-8.31,-7.57,-10.67,-12.77
1965-07,1.44,0.89,2.27,3.51,5.42,0.44,2.21,0.62,1.26,2.44,2.1,3.88,2.81,6.72,3.75
1965-08,2.05,2.48,4.55,5.96,8.25,1.05,2.95,1.08,5.34,3.79,5.62,5.92,6.02,8.97,7.3
1965-09,2.56,2.97,4.58,4.35,5.02,2.6,2.51,2.8,3.22,4.95,4.13,4.83,3.75,5.72,4.15
1965-10,1.48,2.74,4.86,5.81,8.41,1.45,1.56,2.16,3.37,4.36,5.36,5.68,6.03,9.06,7.54
1965-11,-1.46,-0.11,2.74,4.19,7.84,-2.36,0.29,0.55,-0.76,1.12,5.8,2.78,5.8,6.04,10.14
1965-12,-0.12,2.32,2.44,4.59,3.38,-0.94,0.9,3.09,1.26,1.81,3.42,4.06,5.3,3.11,3.73
1966-01,-0.71,0.97,3.91,6.35,5.36,-1.07,-0.14,1.11,0.75,1.98,5.7,4.74,8.2,4.32,6.9
1966-02,-2.11,-2.36,1.39,2.58,5.94,-2.82,-0.74,-2.83,-1.58,0.06,2.48,1.36,3.82,5.42,6.56
1966-03,-2.74,-1.49,-1.77,-0.56,-2.0,-3.26,-1.56,-1.32,-1.72,-2.13,-1.31,0.25,-1.55,-2.5,-1.56
1966-04,1.84,1.46,2.76,5.89,4.83,1.36,2.88,0.4,3.07,2.09,3.85,5.09,7.09,3.95,5.77
1966-05,-3.93,-4.39,-5.16,-8.6,-12.12,-4.12,-3.54,-4.03,-4.81,-3.78,-6.79,-8.63,-8.55,-10.46,-13.86
1966-06,-2.18,-0.95,-0.74,-0.07,2.78,-2.32,-2.0,-0.67,-1.41,-1.13,-0.01,-0.45,0.33,1.19,4.22
1966-07,-0.44,-1.98,-0.61,-3.68,-1.7,-0.73,0.05,-0.66,-2.86,-0.68,-0.54,-3.56,-3.8,-1.53,-1.81
1966-08,-6.2,-7.51,-7.47,-10.84,-9.9,-5.97,-6.52,-7.58,-7.41,-6.87,-8.03,-8.61,-12.7,-11.27,-9.03
1966-09,0.54,-0.33,-0.99,-1.6,-5.57,2.47,-1.05,-0.5,-0.13,-0.73,-1.21,-1.73,-1.43,-4.33,-6.45
1966-10,5.73,5.84,5.36,4.21,-7.05,7.37,3.98,6.69,4.65,5.65,4.85,4.57,3.46,-4.55,-9.45
1966-11,-1.37,0.01,1.6,4.14,17.17,-0.72,-1.82,-3.42,3.43,-0.36,4.26,3.93,4.42,13.72,19.7
1966-12,0.73,-0.26,0.94,1.69,0.66,-1.21,2.41,-0.87,0.97,2.14,-0.53,0.67,3.29,2.29,-0.5
1967-01,6.89,6.83,8.88,12.5,17.54,7.69,6.41,7.47,6.03,9.21,8.57,12.29,12.75,15.19,21.51
1967-02,1.02,0.02,1.47,1.68,4.7,-0.02,2.22,-0.67,1.28,1.53,1.4,2.87,0.02,3.08,6.3
1967-03,3.35,4.84,5.77,6.62,5.05,2.95,3.86,5.78,3.24,6.46,5.03,6.75,6.45,4.08,5.98
1967-04,3.95,3.2,5.71,5.86,4.98,0.68,7.5,2.9,3.6,4.61,7.22,6.13,5.49,5.94,4.02
1967-05,-4.09,-4.27,-4.37,-2.64,-2.86,-3.19,-5.18,-4.4,-4.06,-4.52,-4.15,-2.94,-2.28,-3.84,-2.05
1967-06,1.47,1.18,3.56,6.27,10.66,1.69,1.33,1.04,1.33,4.93,2.37,5.94,6.6,8.42,12.52
1967-07,2.79,6.35,5.03,7.86,8.56,-0.06,4.73,5.66,7.11,4.92,5.18,8.39,7.25,7.98,9.09
1967-08,-0.84,-0.1,-0.09,-0.71,-1.95,-1.3,-0.53,0.21,-0.85,-0.38,0.16,0.06,-1.78,-2.25,-1.66
1967-09,3.22,3.39,3.0,3.82,5.27,4.17,2.07,3.47,3.24,3.25,2.77,3.74,3.97,3.62,6.93
1967-10,-1.36,-4.7,-4.77,-1.34,-1.81,-2.15,-0.88,-4.33,-5.22,-4.92,-4.54,-1.17,-1.57,-0.28,-3.18
1967-11,1.17,-0.4,0.34,2.07,0.54,0.64,1.61,-0.61,-0.07,0.15,0.52,2.22,1.86,1.07,0.09
1967-12,2.66,2.54,2.33,5.04,9.0,2.01,3.17,3.17,1.89,1.91,2.68,3.93,6.42,7.93,10.24
1968-01,-1.75,-4.97,-5.32,-6.88,-4.99,0.13,-3.62,-3.66,-6.19,-6.24,-4.39,-4.7,-8.92,-7.13,-3.25
1968-02,-1.71,-3.39,-3.45,-6.43,-9.06,-1.62,-1.85,-3.58,-3.13,-3.88,-2.75,-6.61,-6.18,-7.69,-10.23
1968-03,0.56,-0.11,1.37,2.23,0.0,0.32,0.89,-1.09,0.94,-0.5,3.42,3.14,0.83,1.56,-1.47
1968-04,6.48,10.03,10.74,12.75,17.13,6.02,7.48,10.06,9.98,10.25,11.5,11.95,13.85,15.27,18.56
1968-05,1.3,1.93,3.25,5.45,7.44,0.19,2.12,1.01,3.4,2.43,4.24,5.06,5.96,6.26,8.65
1968-06,2.03,1.94,0.25,-0.14,-2.28,2.56,1.61,2.09,1.68,-0.22,1.02,-0.09,-0.19,-1.76,-2.79
1968-07,-0.1,-3.09,-2.73,-6.49,-4.7,1.69,-2.11,-2.95,-3.33,-2.81,-2.61,-7.06,-5.75,-5.9,-3.73
1968-08,1.37,1.56,3.38,2.0,2.37,1.15,1.74,0.95,2.74,3.35,3.42,1.65,2.45,1.04,3.38
1968-09,3.35,3.28,5.04,7.25,9.2,3.26,3.46,2.77,4.31,4.64,5.5,7.35,7.12,6.79,10.67
1968-10,1.49,1.12,1.55,-0.53,-2.17,2.84,0.25,0.13,2.61,1.36,1.72,-0.34,-0.77,-0.87,-2.95
