Date,USD_Emerging_Mkt_index
2010-11-30,95.896
2010-12-01,95.4911
2010-12-02,95.3512
2010-12-03,95.1827
2010-12-06,95.1701
2010-12-07,95.1269
2010-12-08,95.4028
2010-12-09,95.469
2010-12-10,95.4398
2010-12-13,95.3187
2010-12-14,95.0974
2010-12-15,95.3419
2010-12-16,95.5362
2010-12-17,95.4544
2010-12-20,95.5535
2010-12-21,95.3124
2010-12-22,95.1201
2010-12-23,95.1
2010-12-24,
2010-12-27,95.0174
2010-12-28,94.9287
2010-12-29,94.788
2010-12-30,94.5179
2010-12-31,
2011-01-03,94.0516
2011-01-04,94.3006
2011-01-05,94.2109
2011-01-06,94.5059
2011-01-07,94.5761
2011-01-10,94.7117
2011-01-11,94.3603
2011-01-12,93.9127
2011-01-13,93.8958
2011-01-14,93.9016
2011-01-17,
2011-01-18,93.7614
2011-01-19,93.8132
2011-01-20,94.0817
2011-01-21,93.9356
2011-01-24,93.8787
2011-01-25,94.0017
2011-01-26,93.8287
2011-01-27,93.8722
2011-01-28,94.1716
2011-01-31,94.2802
2011-02-01,93.795
2011-02-02,93.6559
2011-02-03,93.7214
2011-02-04,93.653
2011-02-07,93.4913
2011-02-08,93.3636
2011-02-09,93.7262
2011-02-10,93.9017
2011-02-11,94.0759
2011-02-14,94.0385
2011-02-15,94.1512
2011-02-16,94.0061
2011-02-17,93.8259
2011-02-18,93.6376
2011-02-21,
2011-02-22,94.0333
2011-02-23,94.1959
2011-02-24,94.249
2011-02-25,94.0772
2011-02-28,93.9896
2011-03-01,93.8546
2011-03-02,93.8815
2011-03-03,93.6227
2011-03-04,93.5014
2011-03-07,93.492
2011-03-08,93.5144
2011-03-09,93.3726
2011-03-10,93.5828
2011-03-11,93.5292
2011-03-14,93.4756
2011-03-15,93.8357
2011-03-16,93.9496
2011-03-17,93.9959
2011-03-18,93.7959
2011-03-21,93.5196
2011-03-22,93.4171
2011-03-23,93.5172
2011-03-24,93.345
2011-03-25,93.2268
2011-03-28,93.3394
2011-03-29,93.3385
2011-03-30,93.0698
2011-03-31,92.935
2011-04-01,92.6033
2011-04-04,92.5608
2011-04-05,92.4903
2011-04-06,92.3193
2011-04-07,92.3162
2011-04-08,92.0409
2011-04-11,92.1223
2011-04-12,92.3815
2011-04-13,92.2916
2011-04-14,92.1336
2011-04-15,91.9652
2011-04-18,92.2475
2011-04-19,92.0229
2011-04-20,91.6618
2011-04-21,91.4125
2011-04-22,91.5056
2011-04-25,91.6385
2011-04-26,91.5369
2011-04-27,91.4082
2011-04-28,91.235
2011-04-29,90.9983
2011-05-02,90.9594
2011-05-03,91.1706
2011-05-04,91.4179
2011-05-05,91.7607
2011-05-06,91.5377
2011-05-09,91.6566
2011-05-10,91.527
2011-05-11,91.5529
2011-05-12,91.8948
2011-05-13,92.1146
2011-05-16,92.2391
2011-05-17,92.3478
2011-05-18,92.0872
2011-05-19,91.9696
2011-05-20,91.84
2011-05-23,92.3655
2011-05-24,92.1909
2011-05-25,92.2189
2011-05-26,92.101
2011-05-27,91.7265
2011-05-30,
2011-05-31,91.4221
2011-06-01,91.475
2011-06-02,91.6264
2011-06-03,91.454
2011-06-06,91.5465
2011-06-07,91.6062
2011-06-08,91.7434
2011-06-09,91.7404
2011-06-10,92.0403
2011-06-13,92.1238
2011-06-14,91.8391
2011-06-15,92.1428
2011-06-16,92.4746
2011-06-17,92.2063
2011-06-20,92.1687
2011-06-21,91.8662
2011-06-22,91.759
2011-06-23,92.1075
2011-06-24,92.1675
2011-06-27,92.2865
2011-06-28,92.0522
2011-06-29,91.7283
2011-06-30,91.4633
2011-07-01,91.2302
2011-07-04,
2011-07-05,91.2322
2011-07-06,91.2999
2011-07-07,91.0557
2011-07-08,91.1256
2011-07-11,91.4802
2011-07-12,91.7118
2011-07-13,91.3697
2011-07-14,91.2998
2011-07-15,91.3618
2011-07-18,91.653
2011-07-19,91.323
2011-07-20,91.1642
2011-07-21,90.9685
2011-07-22,90.8667
2011-07-25,90.9305
2011-07-26,90.7078
2011-07-27,90.8659
2011-07-28,90.9106
2011-07-29,91.0079
2011-08-01,91.0166
2011-08-02,91.1606
2011-08-03,91.3532
2011-08-04,91.8881
2011-08-05,92.1584
2011-08-08,92.5865
2011-08-09,93.0657
2011-08-10,92.9941
2011-08-11,92.8856
2011-08-12,92.5825
2011-08-15,92.3824
2011-08-16,92.243
2011-08-17,92.1241
2011-08-18,92.7066
2011-08-19,92.5251
2011-08-22,92.7163
2011-08-23,92.6165
2011-08-24,92.8891
2011-08-25,92.9916
2011-08-26,92.9632
2011-08-29,92.7353
2011-08-30,92.8348
2011-08-31,92.4129
2011-09-01,92.3179
2011-09-02,92.6723
2011-09-05,
2011-09-06,93.3119
2011-09-07,93.1709
2011-09-08,93.2739
2011-09-09,93.8023
2011-09-12,94.2638
2011-09-13,94.7198
2011-09-14,95.0829
2011-09-15,94.9435
2011-09-16,94.9712
