Date,Nikkei 225
1980-01-04,
1980-01-07,-0.0011448278284935665
1980-01-08,0.0016222265756480336
1980-01-09,0.004350003946703707
1980-01-10,0.0003306650010947987
1980-01-11,0.0032605350559353763
1980-01-14,0.006657089267910532
1980-01-16,-0.0009445141559077941
1980-01-17,0.00045692475111325237
1980-01-18,-0.001051635323738087
1980-01-21,0.0025521807321406964
1980-01-22,0.0027481371389210807
1980-01-23,0.0014361535831890482
1980-01-24,0.007878508801905992
1980-01-25,0.0030798873880213407
1980-01-28,-0.0006058323539152033
1980-01-29,0.0010675090653804453
1980-01-30,0.0008521879097056484
1980-01-31,-0.0012454536618102807
1980-02-01,0.001400673188857171
1980-02-04,0.002444777811229759
1980-02-05,-0.00428156384881373
1980-02-06,0.005204632043124491
1980-02-07,-0.0006926076945369397
1980-02-08,0.0030033562230957767
1980-02-12,0.001763492811816425
1980-02-13,0.001162913264348031
1980-02-14,0.0005660670617684271
1980-02-15,-0.0017763379055432127
1980-02-18,-0.010414892209552162
1980-02-19,0.0009605046917016136
1980-02-20,0.006346200163918292
1980-02-21,-0.004334404594744323
1980-02-22,0.0009902515381576826
1980-02-25,-0.004707229718324157
1980-02-26,-0.0017566810509739295
1980-02-27,0.005625055380050092
1980-02-28,-0.004920752115707305
1980-02-29,0.003099041015394821
1980-03-03,0.004238046929895267
1980-03-04,-0.002250666650566835
1980-03-05,0.0023265552251252597
1980-03-06,-0.00852956340841593
1980-03-07,-0.01646499238303012
1980-03-10,-0.017813858098935875
1980-03-11,0.0043812915220193815
1980-03-12,0.011290355838737165
1980-03-13,-0.0007670557426344704
1980-03-14,-0.0016640801266262217
1980-03-17,-0.0046621995554710915
1980-03-18,0.0023694362220922915
1980-03-19,0.0009956819144407714
1980-03-20,0.0
1980-03-21,-0.001972698557897501
1980-03-24,-0.0006877933217103172
1980-03-25,-0.005480259526438047
1980-03-26,0.0007073853059429425
1980-03-27,-0.008393646190701265
1980-03-28,-0.0007853460928466394
1980-03-31,0.012393550184521152
1980-04-01,-0.008143470094049476
1980-04-02,0.00925607914980131
1980-04-03,0.007802839728341615
1980-04-04,0.011254564302272785
1980-04-07,0.007239127967012093
1980-04-08,-0.008092553585254847
1980-04-09,0.003845872252507432
1980-04-10,0.003319727748550827
1980-04-11,0.0031870090170662557
1980-04-14,0.008324984339761254
1980-04-15,-0.0003510688990105981
1980-04-16,-0.0052028818278810895
1980-04-17,0.004196176498036275
1980-04-18,0.001854796295951866
1980-04-21,-0.00010573683628356534
1980-04-22,-0.0017120424838897863
1980-04-23,0.006595126875380775
1980-04-24,-0.001978424259633793
1980-04-25,0.0109072647304298
1980-04-28,-0.004221680552598195
1980-04-30,-0.0014689640597010944
1980-05-01,-6.991133493172708e-05
1980-05-02,0.0025593036088151777
1980-05-06,-0.0038604061801402745
1980-05-07,-0.003098014336613275
1980-05-08,-0.011286240819240123
1980-05-09,0.007499546596511308
1980-05-12,-0.007849142134556453
1980-05-13,0.0017764776747226652
1980-05-14,-0.002837280542977605
1980-05-15,-0.00018235271472544223
1980-05-16,-0.0020024821862462128
1980-05-19,-0.014654674272241208
1980-05-20,0.010998808576482944
1980-05-21,0.017127663059501863
1980-05-22,0.0021561964882899076
1980-05-23,0.0004387959935012731
1980-05-26,-0.0011652548044541744
1980-05-27,-0.0007933233903468784
1980-05-28,0.0033032746923753464
1980-05-29,-0.0011169289991896925
1980-05-30,0.0020902583057380575
1980-06-02,0.0010210481497989754
1980-06-03,-0.005321523378829074
1980-06-04,-0.0044754595076672565
1980-06-05,0.0037686501478360057
1980-06-06,-0.0009881244676053225
1980-06-09,0.0012532157990314818
1980-06-10,-0.0058331483414493235
1980-06-11,0.006305177138391738
1980-06-12,-0.0016539019381576203
1980-06-13,0.0010403719487348528
1980-06-16,0.004514902118786024
1980-06-17,-0.007896241630680034
1980-06-18,0.0038905928237846776
1980-06-19,-0.004845502392488266
1980-06-20,0.0032347767073070965
1980-06-23,0.006903591712221546
1980-06-24,-0.007946493595556214
1980-06-25,-0.006629101328704201
1980-06-26,0.0058095448557959894
1980-06-27,0.003602660494698151
1980-06-30,0.00669160598472085
1980-07-01,-0.0067460515433160895
1980-07-02,-0.0007180027802842215
1980-07-03,0.0065092708599898685
1980-07-04,-0.0025860160499173723
1980-07-07,-0.020099007245810374
1980-07-08,0.007013471443457098
1980-07-09,0.00505805926357028
1980-07-10,0.0006672263562896852
1980-07-11,-0.0009243525723046098
1980-07-14,-0.0012669635215499797
1980-07-15,0.0020666042500756543
1980-07-16,0.0033532377543534775
1980-07-17,-0.0008420803790973874
1980-07-18,0.0013757804142899843
1980-07-21,0.0033300854183269113
1980-07-22,-0.0009338905135219955
1980-07-23,0.00020042380420526307
1980-07-24,-0.006068068023890927
1980-07-25,0.002135123109242798
1980-07-28,0.0009132568065521873
1980-07-29,-0.0007819135852256132
1980-07-30,0.001427055165176938
1980-07-31,-0.00021553925652773032
1980-08-01,-0.004594102416607848
1980-08-04,-0.005141184589350423
1980-08-05,0.0011031769805183167
1980-08-06,-0.0030883516881610173
1980-08-07,-1.1881079952535956e-05
1980-08-08,0.004692937447182022
1980-08-11,0.0010366977445244174
1980-08-12,0.0034137346073639385
1980-08-13,0.0047987625989414084
1980-08-14,-0.0015100001879015945
1980-08-15,0.0018786377811768062
1980-08-18,-0.00015212322238122855
1980-08-19,0.004208739958786234
1980-08-20,0.0020700499438137676
1980-08-21,-0.0036445267857776464
1980-08-22,0.0047376252969342225
1980-08-25,0.005348420206517046
1980-08-26,-0.0024469815952339324
