Date,Nasdaq
1980-01-04,
1980-01-07,0.004053444314338517
1980-01-08,0.013860837210830423
1980-01-09,0.006105743777901296
1980-01-10,0.010026312351425704
1980-01-11,0.004898119278452073
1980-01-14,0.003444458283716978
1980-01-15,0.0036270261626969447
1980-01-16,0.006646868447797383
1980-01-17,-0.0011539709483386895
1980-01-18,0.0021179759721809965
1980-01-21,0.00774949864606822
1980-01-22,-0.0027328116802703972
1980-01-23,0.010068836665124037
1980-01-24,0.004668804373274771
1980-01-25,0.0028886676664794386
1980-01-28,0.0062617408835898836
1980-01-29,-0.0025513607336372646
1980-01-30,0.006301140482438239
1980-01-31,0.002789813637497529
1980-02-01,0.0034003279861378743
1980-02-04,-0.0017251926927418504
1980-02-05,0.001110928718891735
1980-02-06,0.004870582982649196
1980-02-07,0.004785562016129896
1980-02-08,0.009037037851429952
1980-02-11,-0.0047805947723619235
1980-02-12,0.0006688593327308645
1980-02-13,0.002491270493247155
1980-02-14,-0.008728345730984133
1980-02-15,-0.005992391878263281
1980-02-19,-0.009227362343305456
1980-02-20,0.0064572740636204
1980-02-21,-0.004873587385415545
1980-02-22,-0.007625043370869111
1980-02-25,-0.013180913207250011
1980-02-26,0.0033550596645017805
1980-02-27,-0.004858071119627327
1980-02-28,-0.0017117163569715377
1980-02-29,0.0036199164303698517
1980-03-03,-0.007340401639371219
1980-03-04,-0.009434536709416297
1980-03-05,-0.015766760781681266
1980-03-06,-0.028115620394377983
1980-03-07,-0.016482756716243663
1980-03-10,-0.01669062453422021
1980-03-11,0.005634765624999982
1980-03-12,0.0004842786759897688
1980-03-13,0.002419904811661544
1980-03-14,-0.0037246054769350945
1980-03-17,-0.03281643182668115
1980-03-18,-0.005583384368904931
1980-03-19,0.0075583290066048026
1980-03-20,-0.002357661128646771
1980-03-21,-0.006015442148110561
1980-03-24,-0.030187336810387655
1980-03-25,-0.01552630806339883
1980-03-26,-0.0022638321920138704
1980-03-27,-0.061488464738718385
1980-03-28,0.04158275295664415
1980-03-31,0.013539651837524147
1980-04-01,0.016335873203423112
1980-04-02,0.01997899710307638
1980-04-03,0.0015463287949859517
1980-04-07,-0.019189770721006694
1980-04-08,0.007271373801229997
1980-04-09,0.012428356252367712
1980-04-10,0.009115007015296994
1980-04-11,0.003423668596171492
1980-04-14,-0.00784030367371824
1980-04-15,-0.00204872161445957
1980-04-16,-0.004619142793693132
1980-04-17,-0.008912724690904428
1980-04-18,0.0008175444656752795
1980-04-21,-0.011733267400016234
1980-04-22,0.019762585261693166
1980-04-23,0.008916007628157363
1980-04-24,0.012927288169233941
1980-04-25,-0.005551981101062031
1980-04-28,0.004495324285228364
1980-04-29,0.0058467796783405745
1980-04-30,0.004592747481998893
1980-05-01,-0.0022145353612258445
1980-05-02,0.004080808663426971
1980-05-05,0.0056327507032643
1980-05-06,0.008437340456986853
1980-05-07,0.00949171162250284
1980-05-08,-0.0022287736463139085
1980-05-09,-0.0013960418533496277
1980-05-12,-0.0006989434253668048
1980-05-13,0.007974253889971639
1980-05-14,0.010825798004984843
1980-05-15,0.006590631820283521
1980-05-16,0.0042286891053366915
1980-05-19,0.0
1980-05-20,-0.0021054931120415565
1980-05-21,-0.0012250233768025254
1980-05-22,0.008245360912212618
1980-05-23,0.010272972051233564
1980-05-27,0.004147781600868372
1980-05-28,0.0039972739528923995
1980-05-29,-0.004047781172557441
1980-05-30,0.0023985649885760463
1980-06-02,-0.001861075340488072
1980-06-03,-0.001664779936394134
1980-06-04,0.008604646215831568
1980-06-05,0.0066133189312813645
1980-06-06,0.003087746804962599
1980-06-09,0.0020959348936981925
1980-06-10,0.007516299977021967
1980-06-11,0.006941338738795544
1980-06-12,0.0005797985902773473
1980-06-13,0.008241573623191778
1980-06-16,0.0012772013086368439
1980-06-17,0.0012118276008821205
1980-06-18,0.0013377928371949288
1980-06-19,-0.0029264374751737376
1980-06-20,-0.0014036956976989368
1980-06-23,0.003066966987256281
1980-06-24,0.004267775944338581
1980-06-25,0.006850195394954461
1980-06-26,0.0016378637888301295
1980-06-27,0.0011320294074292914
1980-06-30,-0.008795036819331248
1980-07-01,0.0024717923226376115
1980-07-02,0.006385499895859681
1980-07-03,0.01061692749822174
1980-07-07,0.017156771613093147
1980-07-08,-0.00030558607997122067
1980-07-09,0.0031177069392789303
1980-07-10,-0.0015235541811166042
1980-07-11,0.005981512501422648
1980-07-14,0.010314263273257351
1980-07-15,0.0031827934524293333
1980-07-16,0.0002993298464191163
1980-07-17,0.009395523686917873
1980-07-18,0.007825975802149499
1980-07-21,0.0028824649599454855
1980-07-22,-0.004047410011137065
1980-07-23,0.00017677153703266058
1980-07-24,0.0005888048546345281
1980-07-25,-0.0017066460055189525
1980-07-28,0.002299117953323604
1980-07-29,0.006116887777900537
1980-07-30,0.007424320651155947
1980-07-31,-0.0030174912489743244
1980-08-01,0.003957906665695621
1980-08-04,-0.0034784977935397032
1980-08-05,0.003665163098781399
1980-08-06,0.005390636753709543
1980-08-07,0.01032002638464169
1980-08-08,0.0036521306185042235
1980-08-11,0.0069933801079808955
1980-08-12,-0.0027666732057783916
1980-08-13,0.002264801077635825
1980-08-14,0.009829342404132468
1980-08-15,0.006321352190292728
1980-08-18,-0.014731190758105361
1980-08-19,-0.00541642227552408
1980-08-20,0.007941876027791395
1980-08-21,0.012550715208534013
1980-08-22,0.009949381633578502
1980-08-25,-0.0006604024171870115
1980-08-26,0.0044608302149229395
1980-08-27,-0.001315891737305841
1980-08-28,-0.006368314258520025
1980-08-29,0.0029283317487764915
