Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1967-03,5.46,5.08,5.39,7.04,6.18,5.84,4.77,5.08,5.08,5.47,5.32,7.1,6.99,5.94,6.34
1967-04,3.28,4.11,4.06,4.83,4.53,3.66,2.58,3.37,4.84,4.56,3.57,5.63,4.07,3.66,5.13
1967-05,-0.31,-0.78,-1.46,-0.71,-0.28,0.27,-1.4,-0.15,-1.41,-1.43,-1.49,-1.5,0.04,-1.38,0.48
1967-06,7.24,6.24,6.29,7.91,10.88,8.53,4.86,6.86,5.62,6.98,5.59,6.89,8.89,9.37,11.92
1967-07,7.19,7.28,7.69,9.0,10.87,7.75,6.45,6.78,7.76,7.24,8.15,8.5,9.43,10.82,10.9
1967-08,0.91,0.98,1.96,-0.23,0.27,0.49,1.47,1.08,0.88,2.26,1.65,-1.09,0.51,-0.01,0.46
1967-09,4.89,5.51,5.7,5.09,8.09,6.04,3.34,4.92,6.05,5.12,6.3,6.29,4.05,6.38,9.24
1967-10,-2.07,-2.38,-2.04,-3.05,-1.14,-2.22,-1.88,-2.53,-2.24,-3.1,-0.96,-3.4,-2.74,-0.76,-1.39
1967-11,0.86,-0.17,-0.31,0.39,-0.23,0.75,1.02,0.59,-0.86,-0.19,-0.43,0.8,0.04,-0.31,-0.18
1967-12,5.34,6.26,6.93,8.28,11.56,5.5,5.12,6.34,6.18,6.43,7.43,8.32,8.26,10.32,12.39
1968-01,3.28,2.51,1.61,1.19,4.2,4.1,2.19,2.82,2.23,2.79,0.39,1.45,0.97,3.28,4.82
1968-02,-3.15,-3.81,-5.27,-5.54,-8.21,-2.72,-3.72,-3.79,-3.83,-5.15,-5.4,-4.69,-6.28,-7.78,-8.5
1968-03,-1.18,-1.29,0.03,-1.08,-1.11,-1.05,-1.34,-0.5,-2.01,0.09,-0.03,-1.09,-1.07,-0.65,-1.42
1968-04,9.56,11.08,12.74,15.53,18.85,9.07,10.2,9.8,12.25,11.57,13.94,15.98,15.14,17.61,19.67
1968-05,7.26,7.4,8.66,10.12,12.46,7.91,6.4,7.74,7.1,9.74,7.56,10.16,10.09,12.03,12.74
1968-06,3.4,4.52,1.76,0.26,-0.5,3.35,3.48,5.97,3.21,2.0,1.53,0.0,0.49,-0.04,-0.81
1968-07,-0.88,-2.59,-2.7,-3.96,-2.51,-0.7,-1.07,-1.82,-3.34,-2.21,-3.12,-3.93,-3.99,-3.98,-1.65
1968-08,1.34,3.41,2.81,4.16,5.21,0.3,2.4,3.19,3.63,3.65,2.08,3.54,4.69,4.17,5.83
1968-09,3.75,6.51,7.05,7.43,8.38,2.71,4.82,5.4,7.57,6.61,7.44,7.37,7.49,6.83,9.3
1968-10,2.36,1.43,2.35,1.14,-0.74,1.85,2.88,0.72,2.12,2.64,2.1,1.31,0.99,0.42,-1.42
1968-11,7.44,6.74,6.51,6.77,8.16,8.29,6.58,5.58,7.88,6.47,6.54,6.29,7.18,7.97,8.28
1968-12,-0.97,0.51,1.33,-0.64,1.79,-0.76,-1.19,0.34,0.66,1.61,1.08,-0.26,-0.96,0.91,2.3
1969-01,0.65,-0.96,-0.7,-1.17,0.24,1.06,0.23,-0.94,-0.99,-0.38,-0.98,-1.77,-0.68,0.32,0.2
1969-02,-5.98,-6.52,-7.16,-8.02,-11.63,-5.49,-6.48,-5.65,-7.37,-6.92,-7.36,-7.06,-8.81,-10.94,-12.03
1969-03,0.73,1.41,2.69,1.89,2.42,0.77,0.69,0.91,1.91,1.82,3.44,1.35,2.34,2.32,2.47
1969-04,0.07,0.97,1.1,-0.59,0.82,-0.55,0.73,1.49,0.45,1.33,0.9,-0.65,-0.54,0.49,1.01
1969-05,0.55,1.3,1.31,-0.93,0.78,0.61,0.48,0.81,1.8,1.86,0.84,-0.89,-0.96,1.61,0.31
1969-06,-7.11,-9.12,-10.83,-11.16,-14.76,-7.04,-7.19,-9.39,-8.84,-10.52,-11.09,-10.49,-11.73,-13.62,-15.42
1969-07,-5.93,-7.69,-8.71,-10.27,-11.81,-5.71,-6.14,-7.93,-7.41,-7.4,-9.92,-9.5,-11.09,-10.94,-12.36
1969-08,1.59,5.47,4.26,5.55,6.33,1.05,2.12,5.6,5.32,4.17,4.34,6.17,4.89,6.87,5.99
1969-09,-2.23,-1.34,-1.62,-3.16,-3.61,-2.08,-2.37,-1.61,-1.02,-1.43,-1.79,-3.23,-3.08,-2.64,-4.22
1969-10,5.27,6.68,7.57,9.7,11.91,4.9,5.64,6.84,6.49,8.29,6.91,9.09,10.35,10.42,12.83
1969-11,-4.47,-3.66,-4.54,-5.64,-7.6,-5.01,-3.94,-3.91,-3.35,-4.14,-4.92,-4.97,-6.36,-7.26,-7.82
1969-12,-3.97,-4.84,-5.35,-7.59,-9.59,-3.35,-4.59,-4.8,-4.88,-3.94,-6.64,-7.96,-7.2,-7.65,-10.79
1970-01,-2.49,-3.73,-4.32,-4.2,-4.0,-1.87,-3.12,-3.52,-3.98,-3.72,-4.86,-3.46,-4.98,-3.78,-4.14
1970-02,5.29,4.56,3.87,4.85,4.04,5.23,5.35,4.08,5.14,3.55,4.16,5.26,4.42,3.97,4.09
1970-03,1.56,-0.67,-0.25,-2.15,-4.42,2.11,1.0,-0.31,-1.12,0.06,-0.53,-2.41,-1.87,-3.04,-5.27
1970-04,-9.39,-11.8,-13.2,-16.36,-21.2,-8.9,-9.89,-11.74,-11.87,-12.6,-13.76,-15.59,-17.18,-18.71,-22.76
1970-05,-5.83,-7.91,-10.06,-10.39,-8.98,-5.07,-6.6,-7.58,-8.32,-10.36,-9.79,-9.62,-11.2,-9.25,-8.81
1970-06,-3.31,-5.75,-5.67,-8.51,-11.1,-2.65,-3.96,-5.28,-6.34,-5.81,-5.54,-8.62,-8.4,-8.91,-12.46
1970-07,5.69,5.85,7.49,6.53,5.21,5.99,5.41,5.42,6.32,8.45,6.68,5.99,7.02,4.8,5.48
1970-08,3.7,4.48,5.45,7.57,8.46,4.11,3.3,3.85,5.19,4.58,6.17,7.21,7.91,8.71,8.3
1970-09,3.55,6.34,9.7,12.99,20.85,2.28,4.77,5.5,7.27,8.35,10.83,12.03,13.87,17.35,23.18
1970-10,-0.69,-2.54,-3.86,-6.8,-11.27,-0.46,-0.91,-2.06,-3.06,-3.53,-4.14,-5.91,-7.61,-8.93,-12.84
1970-11,4.3,1.99,2.43,0.34,-2.81,5.58,3.07,1.46,2.57,3.28,1.72,1.22,-0.46,-1.99,-3.35
1970-12,6.62,7.9,9.22,9.09,7.75,5.92,7.3,7.55,8.28,9.87,8.67,8.48,9.64,10.16,6.11
1971-01,5.82,9.12,12.04,15.53,19.11,4.66,6.95,8.56,9.74,10.31,13.47,15.07,15.94,17.41,20.26
1971-02,1.86,3.32,3.58,4.63,5.87,1.12,2.57,2.91,3.77,3.32,3.79,4.59,4.67,4.66,6.7
1971-03,2.54,5.21,5.81,5.66,6.43,1.81,3.24,6.23,4.1,4.64,6.77,4.98,6.27,6.67,6.27
1971-04,0.23,3.92,3.79,2.8,2.86,-0.88,1.3,3.65,4.21,3.81,3.76,2.21,3.34,3.87,2.17
1971-05,-3.85,-3.74,-3.62,-5.85,-7.15,-4.02,-3.68,-3.92,-3.54,-3.89,-3.4,-6.08,-5.63,-7.0,-7.25
1971-06,0.63,-0.6,-1.16,-2.48,-3.72,0.87,0.39,-0.32,-0.9,-0.91,-1.37,-3.2,-1.79,-3.7,-3.74
1971-07,-1.76,-3.13,-4.47,-5.8,-8.42,-1.52,-1.98,-3.25,-3.01,-4.45,-4.48,-5.49,-6.09,-6.75,-9.78
