Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1967-03,3.67,4.74,6.24,6.99,6.69,3.08,4.26,5.61,3.85,6.81,5.7,6.5,7.39,6.14,6.93
1967-04,2.9,3.38,4.47,4.79,4.75,2.0,3.8,3.22,3.51,4.06,4.89,4.55,4.99,4.74,4.75
1967-05,-1.36,-1.36,-0.73,-0.43,-0.42,-0.7,-2.04,-1.03,-1.68,-0.71,-0.75,-1.66,0.53,-1.25,-0.09
1967-06,1.6,2.74,5.19,9.11,13.68,2.08,1.13,1.75,3.68,4.58,5.72,8.44,9.62,10.25,15.04
1967-07,5.14,6.36,7.07,9.58,10.39,4.12,6.19,5.92,6.78,6.3,7.84,9.56,9.6,9.82,10.61
1967-08,1.15,0.85,1.32,0.5,0.48,0.86,1.44,1.88,-0.2,1.36,1.29,0.75,0.27,0.28,0.57
1967-09,2.61,3.59,5.02,5.71,9.09,2.14,3.1,3.08,4.09,4.47,5.54,4.29,6.83,6.2,10.32
1967-10,-3.46,-3.76,-3.06,-2.43,-0.68,-3.09,-3.86,-3.35,-4.17,-2.85,-3.24,-2.66,-2.23,-1.09,-0.51
1967-11,0.15,0.15,1.08,1.74,-0.92,-0.3,0.62,0.0,0.28,0.35,1.81,1.3,2.17,1.45,-1.85
1967-12,3.16,4.36,4.93,8.15,12.42,2.48,3.86,4.48,4.24,4.46,5.36,5.96,10.03,9.93,13.53
1968-01,2.56,0.37,-0.71,0.64,4.36,2.75,2.37,0.11,0.63,-0.88,-0.54,1.43,0.02,0.97,5.89
1968-02,-1.25,-3.05,-3.46,-5.39,-8.88,-1.4,-1.1,-2.45,-3.61,-3.06,-3.84,-4.95,-5.75,-6.69,-9.86
1968-03,-1.03,-0.29,0.11,0.56,-2.34,-1.34,-0.68,-0.91,0.34,-0.53,0.75,0.9,0.27,-1.47,-2.71
1968-04,7.62,10.27,12.07,14.72,19.11,6.89,8.45,10.26,10.27,12.5,11.65,14.44,14.97,17.35,19.87
1968-05,4.29,4.97,7.51,9.55,13.18,4.94,3.63,3.56,6.24,6.49,8.37,8.3,10.65,10.75,14.31
1968-06,4.52,3.01,2.59,2.06,-0.46,5.13,3.88,3.53,2.51,2.58,2.59,1.08,2.85,0.07,-0.69
1968-07,-0.87,-1.53,-3.18,-4.51,-2.88,-0.12,-1.64,-1.69,-1.39,-3.51,-2.9,-5.54,-3.7,-4.75,-2.11
1968-08,1.19,2.4,4.17,4.11,4.36,1.08,1.31,2.13,2.67,4.2,4.15,3.17,4.88,2.92,4.97
1968-09,3.93,5.88,5.8,7.59,8.2,3.06,4.81,4.96,6.8,5.46,6.1,7.71,7.5,7.75,8.4
1968-10,2.57,3.08,3.06,0.51,-1.26,2.74,2.4,2.72,3.42,2.7,3.38,0.94,0.17,0.17,-1.93
1968-11,6.26,6.19,7.23,7.8,7.64,6.2,6.34,5.82,6.55,6.91,7.54,8.41,7.33,7.33,7.79
1968-12,-1.92,-1.16,-1.43,-1.37,3.09,-1.47,-2.4,-1.33,-0.99,-1.27,-1.59,-1.07,-1.63,0.55,4.29
1969-01,-0.41,-0.18,-0.78,-0.64,-0.21,-0.33,-0.49,-0.1,-0.27,-0.04,-1.45,-0.73,-0.57,-1.28,0.39
1969-02,-4.15,-5.59,-7.02,-8.57,-11.7,-3.57,-4.77,-5.24,-5.93,-6.2,-7.77,-7.27,-9.65,-10.13,-12.5
1969-03,0.74,1.85,2.11,1.57,2.53,0.22,1.33,1.43,2.28,2.78,1.44,1.43,1.68,2.21,2.7
1969-04,0.93,0.98,0.51,1.12,-0.46,1.04,0.8,0.58,1.4,-0.03,1.06,2.01,0.36,-0.19,-0.61
1969-05,0.52,0.69,0.47,0.04,0.39,0.11,0.93,1.1,0.25,0.68,0.28,0.37,-0.24,-0.97,1.02
1969-06,-6.2,-8.1,-9.33,-11.79,-14.56,-5.88,-6.56,-7.68,-8.55,-8.96,-9.69,-10.61,-12.74,-12.6,-15.5
1969-07,-5.57,-6.43,-7.52,-9.81,-12.44,-4.82,-6.39,-5.89,-6.99,-7.49,-7.54,-8.93,-10.5,-10.99,-13.07
1969-08,2.23,5.21,5.49,6.75,5.47,1.25,3.29,4.85,5.56,5.22,5.78,5.44,7.98,6.3,5.1
1969-09,-1.55,-1.3,-1.01,-1.5,-4.33,-1.3,-1.81,-1.16,-1.44,-0.68,-1.34,-1.14,-1.82,-2.51,-5.09
