Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1954-06,2.3,1.7,2.11,1.61,1.2,2.8,1.9,1.47,1.83,0.83,1.56,2.73,2.87,3.2,0.62,1.78,1.16,1.09,2.59
1954-07,29.27,5.92,6.04,9.2,5.16,6.8,5.59,7.53,9.69,4.08,6.25,7.48,6.13,6.4,4.78,6.86,8.22,8.68,10.69
1954-08,-7.1,-2.26,-2.14,-1.08,-1.94,-2.84,-2.13,-1.02,-1.37,-1.89,-1.98,-2.91,-2.78,-2.13,-2.13,-1.53,-0.51,-1.69,-1.04
1954-09,4.86,3.84,4.93,5.88,4.22,3.83,4.68,6.27,5.45,4.57,3.87,3.06,4.58,4.94,4.41,5.81,6.74,4.44,6.47
1954-10,3.97,-1.75,-1.3,1.04,-1.55,-1.33,-1.85,-0.55,1.59,-1.5,-1.6,-2.17,-0.51,-1.53,-2.18,-0.99,-0.09,-0.45,3.63
1954-11,6.45,7.99,8.95,11.5,8.35,7.73,8.3,9.94,12.8,8.95,7.74,7.26,8.2,7.79,8.8,11.01,8.85,12.2,13.4
1954-12,19.39,4.95,6.05,10.57,5.78,3.79,5.65,7.97,12.17,6.8,4.75,3.27,4.29,4.68,6.61,8.62,7.3,10.13,14.22
1955-01,7.82,-0.18,1.47,2.61,-0.17,0.79,1.41,2.23,2.32,-1.0,0.66,-0.21,1.77,1.03,1.8,1.29,3.19,3.58,1.07
1955-02,10.95,2.84,4.54,5.81,2.79,3.98,4.13,4.71,6.45,3.39,2.2,2.94,5.0,4.98,3.28,4.92,4.5,6.58,6.32
1955-03,-9.01,0.33,-0.31,0.24,1.11,-0.7,-0.65,-0.26,0.74,2.07,0.14,-1.25,-0.17,-1.31,0.01,0.25,-0.79,0.2,1.28
1955-04,0.19,2.74,2.77,2.25,2.73,2.62,3.05,2.31,2.32,3.41,2.05,2.76,2.49,2.99,3.12,2.49,2.12,3.02,1.62
1955-05,-0.95,1.56,0.36,0.84,2.16,0.13,0.58,0.5,0.93,2.09,2.24,0.34,-0.07,0.67,0.49,0.36,0.64,0.15,1.72
1955-06,-5.77,3.13,3.61,5.2,3.1,2.74,3.2,4.57,6.09,3.8,2.4,3.17,2.32,3.8,2.6,5.72,3.39,3.2,8.98
1955-07,2.94,0.77,1.47,1.41,0.75,1.26,2.13,1.02,1.08,1.03,0.46,0.83,1.67,2.81,1.44,-0.01,2.05,1.71,0.43
