Date,M2_velocity
2010-01-01,1.739
2010-04-01,1.746
2010-07-01,1.748
2010-10-01,1.745
2011-01-01,1.728
2011-04-01,1.714
2011-07-01,1.656
2011-10-01,1.648
2012-01-01,1.642
2012-04-01,1.631
2012-07-01,1.612
2012-10-01,1.586
2013-01-01,1.583
2013-04-01,1.574
2013-07-01,1.573
2013-10-01,1.565
2014-01-01,1.542
2014-04-01,1.548
2014-07-01,1.553
2014-10-01,1.542
2015-01-01,1.526
2015-04-01,1.528
2015-07-01,1.52
2015-10-01,1.502
2016-01-01,1.476
2016-04-01,1.466
2016-07-01,1.457
2016-10-01,1.45
2017-01-01,1.444
2017-04-01,1.437
2017-07-01,1.441
2017-10-01,1.451
2018-01-01,1.461
2018-04-01,1.465
2018-07-01,1.467
2018-10-01,1.465
2019-01-01,1.458
2019-04-01,1.46
2019-07-01,1.454
2019-10-01,1.438
2020-01-01,1.391
2020-04-01,1.128
2020-07-01,1.176
2020-10-01,1.163
2021-01-01,1.153
2021-04-01,1.145
2021-07-01,1.144
2021-10-01,1.156
2022-01-01,1.158
2022-04-01,1.179
2022-07-01,1.202
2022-10-01,1.234
2023-01-01,1.273
2023-04-01,1.302
2023-07-01,1.327
