Date,Global Raw Material
2010-01-01,113.530729028704
2010-02-01,113.827281957164
2010-03-01,119.050464156486
2010-04-01,126.399514259857
2010-05-01,124.076612634687
2010-06-01,123.687962382461
2010-07-01,120.104326505793
2010-08-01,122.788802416406
2010-09-01,129.112469919507
2010-10-01,139.299430743246
2010-11-01,148.577297592759
2010-12-01,158.724036227615
2011-01-01,171.70289408804
2011-02-01,187.061536674533
2011-03-01,183.965550956406
2011-04-01,186.638095254208
2011-05-01,168.077956267116
2011-06-01,167.547464623799
2011-07-01,161.701545665502
2011-08-01,152.976545384238
2011-09-01,149.916487561997
2011-10-01,142.334274423358
2011-11-01,132.349162568684
2011-12-01,128.132476678517
2012-01-01,132.959112234155
2012-02-01,137.615685818883
2012-03-01,135.413047552288
2012-04-01,135.793240357959
2012-05-01,132.499102069501
2012-06-01,123.967574149434
2012-07-01,123.100002426242
2012-08-01,119.955226987632
2012-09-01,122.978491138174
2012-10-01,123.400924060729
2012-11-01,122.486757674365
2012-12-01,124.22070368311
2013-01-01,126.70243329984
2013-02-01,125.229616835754
2013-03-01,123.777322037975
2013-04-01,123.112235325106
2013-05-01,127.004386854977
2013-06-01,124.745433454087
2013-07-01,119.120808206059
2013-08-01,119.983106353695
2013-09-01,119.463015274958
2013-10-01,118.616082935487
2013-11-01,118.038447625996
2013-12-01,121.224916704121
2014-01-01,118.411228056009
2014-02-01,118.216046149195
2014-03-01,121.2464584907
2014-04-01,118.37767400802
2014-05-01,116.844633713335
2014-06-01,117.062812040658
2014-07-01,114.110861726458
2014-08-01,108.933115763765
2014-09-01,106.313818656288
2014-10-01,104.724126568035
2014-11-01,105.391969503952
2014-12-01,105.185166489156
2015-01-01,104.200238174632
2015-02-01,105.552220064544
2015-03-01,102.531777340194
2015-04-01,104.19210914328
2015-05-01,106.129277667331
2015-06-01,103.678243206443
2015-07-01,100.502727544418
2015-08-01,97.3716160061552
2015-09-01,94.7635413354745
2015-10-01,95.081433927924
2015-11-01,94.3468085661837
2015-12-01,93.7924308423773
2016-01-01,93.8316623174384
2016-02-01,94.4500236376917
2016-03-01,95.4253849435374
2016-04-01,100.301556163322
2016-05-01,100.894641327857
2016-06-01,100.545371699988
2016-07-01,102.527253010297
2016-08-01,101.567962394324
2016-09-01,101.448504997886
2016-10-01,100.620701378595
2016-11-01,102.541525908731
2016-12-01,105.845412220333
2017-01-01,109.861559194039
2017-02-01,111.495767537564
2017-03-01,107.69509581598
2017-04-01,107.996451374553
2017-05-01,108.496773914304
2017-06-01,103.425808273485
2017-07-01,102.941011900785
2017-08-01,103.044309453618
2017-09-01,103.021634045057
2017-10-01,100.750024356675
2017-11-01,101.790278255652
2017-12-01,104.083736854979
2018-01-01,109.824572699167
2018-02-01,110.441083847441
2018-03-01,110.681050717496
2018-04-01,109.849330071779
2018-05-01,110.053977389211
2018-06-01,110.663078807034
2018-07-01,108.895930399211
2018-08-01,106.104900966882
2018-09-01,104.895138544245
2018-10-01,103.162237469679
2018-11-01,101.214532382464
2018-12-01,104.102689034454
2019-01-01,104.204422324484
2019-02-01,103.938960540399
2019-03-01,105.419324414243
2019-04-01,104.764243212986
2019-05-01,105.70531935735
2019-06-01,105.311103320727
2019-07-01,101.524630856591
2019-08-01,97.4599776708182
2019-09-01,97.2786072510536
2019-10-01,95.8943986282314
2019-11-01,99.2193054603486
2019-12-01,99.221723212561
2020-01-01,102.096816626475
2020-02-01,98.6768198336164
2020-03-01,95.8369609065772
2020-04-01,91.8085118207583
2020-05-01,91.4644697638595
2020-06-01,92.6474541437449
2020-07-01,93.0475927352692
2020-08-01,95.8273095632065
2020-09-01,97.0505111888146
2020-10-01,103.479932067959
2020-11-01,108.785215797156
2020-12-01,107.590485454607
2021-01-01,110.412205782724
2021-02-01,111.308441873122
2021-03-01,114.475603233093
2021-04-01,114.599225109315
2021-05-01,117.986603076126
2021-06-01,118.167248468337
2021-07-01,112.367170883108
2021-08-01,110.389302241975
2021-09-01,108.252574032073
2021-10-01,113.094118867282
2021-11-01,115.359386878494
2021-12-01,114.163929509277
2022-01-01,119.109969990201
2022-02-01,123.700306796345
2022-03-01,133.20865091117
2022-04-01,133.321795569755
2022-05-01,134.699574019599
2022-06-01,130.495182352661
2022-07-01,119.614529207133
2022-08-01,117.685200087354
2022-09-01,110.620482289135
2022-10-01,104.82513162828
2022-11-01,105.618314615163
2022-12-01,105.815677792493
2023-01-01,103.194312056955
2023-02-01,103.841031224041
2023-03-01,100.798107521337
2023-04-01,100.005735191579
2023-05-01,102.59222505331
2023-06-01,99.7224563848532
2023-07-01,100.857683200765
2023-08-01,100.771022294349
2023-09-01,101.351379867912
